Bats,xMLBAMID,Name,Team,Season,Age,AgeR,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Spd,wRC+,wBsR,Batting,Fielding,Replacement,Positional,wLeague,CFraming,Defense,Offense,RAR,WAR,Dollars,BaseRunning,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Q,TPA,Pos,PlayerNameRoute,PlayerName,positionDB,position,playerid,TeamName,TeamNameAbb,teamid,playerTeamId
R,553993,"<a href=""statss.aspx?playerid=12552&position=3B"">Eugenio Suarez</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=18&rost=0&age=0"">CIN</a>",2026,28.0,22 - 34,448.0,691.0,796.0,165.0,102.0,30.0,2.0,31.0,95.0,92.0,91.0,3.0,194.0,4.0,5.0,4.0,19.0,21.0,6.0,0.23878437,182.0,202.0,106.0,18.0,3212.0,1223.0,1989.0,11.0,16.0,6.0,0.114321608,0.243718592,0.469072164,0.32869785,0.422575976,0.751273826,0.183791606,0.284501061,0.900990099,0.21632653,0.371428571,0.412244897,0.08910891,0.153465346,0.06043956,0.375,0.39698492,0.3294866799097981,7.821152218196298,102.95074052414643,4.680624973130968,102.31457846958455,0.6780887600034475,,,,,,,,,,,,,181.0,184.0,141.0,65.0,259.0,182.0,507.0,0.35770751,0.36363636,0.27865613,0.1284585,0.51185771,0.35968379,8.94382022,796.0,0.1030303,Eugenio Suarez,Eugenio Suárez,3B,3B,12552,CIN,CIN,18,18
B,650489,"<a href=""statss.aspx?playerid=17338&position=2B/OF"">Willi Castro</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=19&rost=0&age=0"">COL</a>",2026,27.0,23 - 32,545.0,913.0,1004.0,239.0,163.0,51.0,4.0,21.0,125.0,120.0,66.0,5.0,260.0,14.0,6.0,5.0,13.0,20.0,7.0,0.26177437,277.0,248.0,128.0,27.0,3869.0,1286.0,2583.0,25.0,11.0,4.0,0.065737051,0.258964143,0.253846153,0.319319319,0.39539978,0.714719099,0.13362541,0.341692789,1.116935483,0.196018376,0.424196018,0.379785604,0.108870967,0.084677419,0.090252707,0.363636363,0.34561753,0.3134846497829291,-2.837710114408944,117.14986106545786,5.121503691026218,82.90472631912421,-0.17077366076409817,,,,,,,,,,,,,259.0,227.0,178.0,115.0,334.0,215.0,664.0,0.39006024,0.34186747,0.26807229,0.17319277,0.50301205,0.32379518,10.91304348,1004.0,0.10121837,Willi Castro,Willi Castro,2B/OF,2B/OF,17338,COL,COL,19,19
R,596103,"<a href=""statss.aspx?playerid=16153&position=OF"">Austin Slater</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=20&rost=0&age=0"">MIA</a>",2026,26.0,23 - 33,518.0,766.0,877.0,186.0,116.0,39.0,8.0,23.0,100.0,97.0,78.0,4.0,208.0,18.0,10.0,5.0,10.0,32.0,6.0,0.242819843,237.0,222.0,100.0,26.0,3412.0,1262.0,2150.0,21.0,14.0,6.0,0.088939566,0.237172177,0.375,0.323394495,0.404699738,0.728094233,0.161879895,0.299082568,1.067567567,0.178890876,0.423971377,0.397137745,0.117117117,0.103603603,0.088607594,0.428571428,0.35233751,0.3192348191815038,1.3179983585508588,106.1278588413628,6.474427232238369,98.55223709350389,2.803836151957512,,,,,,,,,,,,,241.0,203.0,129.0,90.0,298.0,185.0,573.0,0.42059337,0.35427574,0.22513089,0.15706806,0.52006981,0.32286213,9.63736264,877.0,0.09670987,Austin Slater,Austin Slater,OF,OF,16153,MIA,MIA,20,12
R,514888,"<a href=""statss.aspx?playerid=5417&position=2B"">Jose Altuve</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=21&rost=0&age=0"">HOU</a>",2026,28.0,23 - 36,445.0,746.0,830.0,177.0,111.0,33.0,3.0,30.0,100.0,94.0,61.0,3.0,168.0,13.0,5.0,5.0,16.0,7.0,5.0,0.237265415,234.0,237.0,106.0,23.0,3219.0,1153.0,2066.0,14.0,11.0,2.0,0.073493975,0.202409638,0.363095238,0.304242424,0.410187667,0.714430091,0.172922252,0.265822784,0.987341772,0.183708838,0.405545927,0.410745233,0.097046413,0.126582278,0.059829059,0.181818181,0.31204819,0.31212642803389373,-3.3948019439178756,95.79811048565325,3.7428047867528127,98.97441388439742,-1.6427691858261824,,,,,,,,,,,,,240.0,217.0,131.0,100.0,295.0,193.0,588.0,0.40816327,0.36904762,0.22278912,0.17006803,0.50170068,0.32823129,8.92473118,830.0,0.09942085,Jose Altuve,Jose Altuve,2B,2B,5417,HOU,HOU,21,21
L,518692,"<a href=""statss.aspx?playerid=5361&position=1B"">Freddie Freeman</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=22&rost=0&age=0"">LAD</a>",2026,30.0,24 - 37,570.0,897.0,1028.0,226.0,140.0,50.0,3.0,33.0,134.0,123.0,103.0,4.0,208.0,15.0,10.0,2.0,24.0,9.0,4.0,0.251950947,277.0,272.0,147.0,26.0,4060.0,1552.0,2508.0,18.0,5.0,1.0,0.100194552,0.20233463,0.495192307,0.335609756,0.424749163,0.760358919,0.172798216,0.289789789,1.018382352,0.211206896,0.397988505,0.390804597,0.095588235,0.121323529,0.064981949,0.2,0.33463035,0.33309603887486994,12.826703144247798,135.68250311725882,3.912413617862798,109.57560542651137,-1.209142928943038,,,,,,,,,,,,,287.0,260.0,154.0,80.0,367.0,254.0,702.0,0.40941512,0.37089872,0.21968616,0.11412268,0.5235378,0.36233951,11.17391304,1028.0,0.10405827,Freddie Freeman,Freddie Freeman,1B,1B,5361,LAD,LAD,22,22
R,596142,"<a href=""statss.aspx?playerid=11442&position=C"">Gary Sanchez</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=23&rost=0&age=0"">MIL</a>",2026,27.0,21 - 34,573.0,931.0,1064.0,222.0,153.0,44.0,7.0,18.0,116.0,110.0,112.0,5.0,225.0,7.0,7.0,7.0,27.0,21.0,10.0,0.238453276,349.0,221.0,132.0,14.0,4247.0,1648.0,2599.0,20.0,18.0,5.0,0.105263157,0.211466165,0.497777777,0.322611163,0.358754027,0.68136519,0.120300751,0.293525179,1.57918552,0.188034188,0.497150997,0.314814814,0.063348416,0.081447963,0.05730659,0.277777777,0.33364662,0.3037986208617461,-11.65627322658078,115.50186993614659,4.816135939826417,90.38327826553511,-1.3710736250504851,,,,,,,,,,,,,270.0,269.0,181.0,110.0,371.0,239.0,720.0,0.375,0.37361111,0.25138889,0.15277778,0.51527778,0.33194444,11.95505618,1064.0,0.0988787,Gary Sanchez,Gary Sánchez,C,C,11442,MIL,MIL,23,23
B,660688,"<a href=""statss.aspx?playerid=19610&position=C"">Keibert Ruiz</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=24&rost=0&age=0"">WSN</a>",2026,25.0,23 - 28,553.0,914.0,1030.0,244.0,157.0,51.0,5.0,31.0,141.0,136.0,102.0,2.0,241.0,9.0,3.0,2.0,17.0,33.0,6.0,0.266958424,288.0,244.0,138.0,20.0,3968.0,1436.0,2532.0,23.0,8.0,3.0,0.099029126,0.233980582,0.423236514,0.345330739,0.435448577,0.780779316,0.168490153,0.330232558,1.180327868,0.205970149,0.429850746,0.364179104,0.081967213,0.12704918,0.079861111,0.375,0.3631068,0.3429918619740544,21.436404774292836,144.5312238133992,5.682389921936838,115.77650972443624,2.6962180715054274,,,,,,,,,,,,,295.0,220.0,163.0,108.0,346.0,224.0,678.0,0.43510324,0.32448378,0.24041298,0.15929204,0.51032448,0.33038348,11.19565217,1030.0,0.10663984,Keibert Ruiz,Keibert Ruiz,C,C,19610,WSN,WSN,24,24
R,502054,"<a href=""statss.aspx?playerid=2967&position=OF"">Tommy Pham</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=25&rost=0&age=0"">NYM</a>",2026,29.0,21 - 38,513.0,861.0,961.0,206.0,142.0,28.0,4.0,32.0,108.0,105.0,74.0,0.0,214.0,11.0,6.0,8.0,22.0,11.0,4.0,0.239256678,275.0,244.0,134.0,13.0,3757.0,1340.0,2417.0,17.0,8.0,0.0,0.077003121,0.222684703,0.345794392,0.305672268,0.392566782,0.69823905,0.153310104,0.280193236,1.12704918,0.205206738,0.421133231,0.37366003,0.053278688,0.13114754,0.061818181,0.0,0.33298647,0.3080730041911622,-7.330739590982829,107.51792166783387,4.2463555084017255,95.75280884769242,-0.6659414013847709,,,,,,,,,,,,,250.0,234.0,177.0,98.0,339.0,224.0,662.0,0.37821483,0.35400908,0.2677761,0.14826021,0.5128593,0.33888048,10.56043956,961.0,0.11204188,Tommy Pham,Tommy Pham,OF,OF,2967,NYM,NYM,25,26
L,547180,"<a href=""statss.aspx?playerid=11579&position=OF"">Bryce Harper</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=26&rost=0&age=0"">PHI</a>",2026,29.0,22 - 35,546.0,948.0,1071.0,211.0,141.0,33.0,5.0,32.0,115.0,112.0,94.0,0.0,254.0,16.0,10.0,2.0,14.0,25.0,5.0,0.222573839,291.0,274.0,135.0,21.0,4261.0,1528.0,2733.0,23.0,6.0,2.0,0.08776844,0.237161531,0.37007874,0.300561797,0.369198312,0.669760109,0.146624473,0.266369047,1.062043795,0.192857142,0.415714285,0.391428571,0.076642335,0.116788321,0.0790378,0.333333333,0.35480859,0.297690165623297,-17.007166475162414,110.98754341889867,5.122832665038288,84.08540499744386,1.5912714237347245,,,,,,,,,,,,,275.0,260.0,171.0,94.0,361.0,251.0,707.0,0.38951841,0.36827195,0.24220963,0.13314448,0.51133144,0.35552408,11.76923077,1071.0,0.09957627,Bryce Harper,Bryce Harper,OF,OF,11579,PHI,PHI,26,26
R,542303,"<a href=""statss.aspx?playerid=10324&position=DH/OF"">Marcell Ozuna</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=27&rost=0&age=0"">PIT</a>",2026,27.0,20 - 35,530.0,881.0,975.0,216.0,153.0,32.0,2.0,29.0,120.0,113.0,80.0,2.0,256.0,5.0,9.0,0.0,18.0,23.0,2.0,0.245175936,280.0,228.0,119.0,18.0,3861.0,1360.0,2501.0,21.0,7.0,7.0,0.082051282,0.262564102,0.3125,0.308717948,0.384790011,0.693507959,0.139614075,0.309090909,1.228070175,0.189792663,0.446570972,0.363636363,0.078947368,0.127192982,0.075,1.0,0.37435897,0.3054736025041814,-9.294512959256428,107.22728176222775,5.006625256070139,88.98646301726276,2.517318744212389,,,,,,,,,,,,,250.0,239.0,145.0,88.0,314.0,232.0,634.0,0.39432177,0.37697161,0.22870662,0.13880126,0.49526814,0.3659306,10.71428571,975.0,0.09607843,Marcell Ozuna,Marcell Ozuna,DH/OF,DH/OF,10324,PIT,PIT,27,27
