Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TOR,Blue Jays,10.5362,9.57934,29.2944,29.2944,0.0,0.0,0.0,171.152,710.893,142.227,76.7068,70.5702,20.8052,202.389,65.3632,1.48602,5.25066,3.71092,1.2129,10.6426,3.43711,3.09637,1.09404,0.284696,0.0919452,0.19275100529193878,,0.222132,0.291119,0.733393,3.58814,831.9000000000001,4.864912280701755,776.0,4.538011695906433,3.61069,2.82405,6.00092,-0.913504,1.11096,12.625,6.00092,0.913504,3.51872,77.18000030517578,14,AL,Dylan Cease,656302,18525,18525
HOU,Astros,12.1006,8.60482,29.2441,29.2441,0.0,0.0,0.0,178.313,734.992,151.14,75.1555,69.1431,19.5882,193.099,58.0662,1.4927,6.89506,3.48986,1.17326,9.74629,2.93078,3.32549,0.988675,0.262722,0.0790025,0.18371964991092682,,0.225572,0.287644,0.737423,3.49031,869.6,4.885393258426967,821.0,4.612359550561798,3.54821,3.50795,2.79736,0.61955,1.0284,15.6809,2.79736,-0.61955,3.62881,36.900001525878906,21,AL,Hunter Brown,686613,25880,25880
CIN,Reds,10.1663,8.19293,27.9006,27.9006,0.0,0.0,0.0,166.66,680.584,132.589,73.618,67.7286,24.457,199.912,53.4486,0.58744,9.48122,3.65748,1.11627,10.7957,2.88633,3.74027,1.32073,0.293736,0.0785335,0.21520303189754486,,0.214665,0.274945,0.740587,3.77659,808.8,4.84311377245509,737.0,4.413173652694611,3.49815,3.5244,1.96674,0.771825,1.032,13.7846,1.96674,-0.771825,3.624,43.75,18,NL,Hunter Greene,668881,22182,22182
BOS,Red Sox,11.4798,8.57753,27.9654,27.9654,0.0,0.0,0.0,166.575,686.301,153.075,76.6046,70.4763,20.6042,175.954,43.4038,0.644674,5.08985,3.80782,1.17952,9.50674,2.3451,4.05388,1.11324,0.25638,0.063243,0.1931365579366684,,0.240002,0.300217,0.715099,3.50391,787.7,4.716766467065868,770.0,4.610778443113772,3.44029,2.94659,2.4152,-1.15664,0.94286,13.2421,2.4152,1.15664,3.74285,133.42999267578125,3,AL,Sonny Gray,543243,12768,12768
SEA,Mariners,13.2371,8.33751,29.2972,29.2972,0.0,0.0,0.0,183.157,732.708,150.932,75.1467,69.135,24.1039,185.258,38.3463,0.925732,6.99693,3.39717,1.03342,9.10324,1.88427,4.83118,1.18442,0.25284,0.052335,0.20050476118922234,,0.219581,0.265329,0.73381,3.56572,901.4,4.925683060109289,838.0,4.579234972677596,3.42951,3.31379,3.44959,0.150113,1.38443,15.3715,3.44959,-0.150113,3.1541,36.08000183105469,11,AL,Bryan Woo,693433,30279,30279
TEX,Rangers,9.87978,6.69941,25.6092,25.6092,0.0,0.0,0.0,154.638,616.969,127.137,64.1101,58.9813,21.1124,174.185,35.4545,0.5541,4.3805,3.43273,1.05143,10.1377,2.06347,4.91293,1.22875,0.282325,0.0574656,0.2248590588569641,,0.22029,0.27767,0.74027,3.42998,789.5,5.093548387096774,733.0,4.7290322580645165,3.39724,3.13942,2.61857,-1.10016,1.09871,11.9133,2.61857,1.10016,3.53505,48.63999938964844,13,AL,Jacob deGrom,594798,10954,10954
BOS,Red Sox,11.0972,8.77127,27.0471,27.0471,0.0,0.0,0.0,164.684,688.377,156.843,73.145,67.2934,16.7757,148.356,46.9583,0.823678,5.34599,3.6776,1.23753,8.10768,2.56628,3.15931,0.916794,0.215516,0.068216,0.1472996473312378,,0.24658,0.29742,0.724599,3.6105,743.7,4.507272727272728,744.0,4.509090909090909,3.26848,3.23549,2.765,0.972079,0.873814,13.537,2.765,-0.972079,3.83492,176.8699951171875,3,AL,Ranger Suarez,624133,17277,17277
SEA,Mariners,10.2052,7.84853,27.8821,27.8821,0.0,0.0,0.0,164.28,654.993,134.733,67.9714,62.5337,21.5857,183.764,36.6893,1.10478,5.51663,3.42588,1.04347,10.0674,2.01,5.00865,1.18256,0.280558,0.0560148,0.2245435044169426,,0.219868,0.277703,0.732642,3.37682,831.0,5.067073170731708,773.0,4.713414634146342,3.26215,2.87639,3.10127,0.48768,1.20129,13.3156,3.10127,-0.48768,3.39828,34.38999938964844,11,AL,Logan Gilbert,669302,22250,22250
MIN,Twins,11.0834,9.57873,27.9821,27.9821,0.0,0.0,0.0,168.072,680.737,144.92,77.4965,71.2968,25.2414,184.913,38.5505,0.567359,8.17798,3.81784,1.09162,9.90184,2.06433,4.79665,1.35164,0.271637,0.0566306,0.2150062657892704,,0.228577,0.282358,0.7154,3.72118,787.7,4.688690476190477,744.0,4.428571428571429,3.15624,2.7409,1.70175,1.15923,1.13777,13.4192,1.70175,-1.15923,3.48297,78.26000213623047,8,AL,Joe Ryan,657746,21390,21390
TOR,Blue Jays,11.3685,9.9408,28.9543,28.9543,0.0,0.174207,0.0,177.842,733.109,161.181,84.0617,77.3368,23.6148,174.199,50.5931,1.06676,3.81438,3.91376,1.1908,8.81565,2.56035,3.44315,1.19506,0.237617,0.0690117,0.16860566288232803,,0.237484,0.286067,0.714621,3.8201,786.4,4.417977528089888,761.0,4.275280898876405,3.10936,2.52837,2.88797,-0.23829,1.00655,13.7486,2.88797,0.23829,3.65793,118.97000122070312,14,AL,Kevin Gausman,592332,14107,14107
