Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
ATH,Athletics,61.0,224.717,247.564,61.9261,32.4702,11.4759,1.16025,16.8197,38.7188,42.7374,18.5921,0.701801,52.2087,2.0582,1.86783,0.329769,3.42335,2.24814,0.64398,0.275574,0.334,0.561515,0.895515,0.379457,0.0750999,0.210889,0.356111,0.285941,4.38901,0.286288,,,42.1029,12.5605,-1.99,-0.101058,-0.101058,2.19532,12.023392543196678,0.8340740203857422,141.62,383.6,6.28852459,383.6,6.28852459,54.04999923706055,0.16509434,C,/players/shea-langeliers/25816/stats/batting,C,10.0,10.0,AL,Shea Langeliers,669127,25816,25816
ARI,Diamondbacks,63.0,242.483,275.342,67.7973,39.3592,13.5761,1.23081,13.6311,40.3897,44.5669,27.6234,1.33876,40.8109,2.72818,1.96513,0.278918,5.68272,2.10632,0.746276,0.279596,0.357165,0.51438,0.871545,0.374021,0.100324,0.148219,0.676863,0.234784,4.02826,0.285076,,,45.6124,12.7552,0.12,-0.258151,-0.258151,2.12233,11.841218650341034,0.17226997390389442,136.332,410.7,6.519047619,410.7,6.519047619,32.63999938964844,0.1712963,2B,/players/ketel-marte/13613/stats/batting,2B,15.0,15.0,NL,Ketel Marte,606466,13613,13613
WSN,Nationals,64.0,229.82,269.627,64.3659,35.0456,13.1582,0.641353,15.5206,43.8891,44.9901,36.3726,2.59575,75.7367,1.98113,1.2523,0.200837,4.70707,7.4963,2.35287,0.280071,0.381253,0.545508,0.926761,0.39548,0.1349,0.280894,0.48025,0.265437,4.93494,0.349356,,,49.3609,17.1857,-0.61,0.140221,0.140221,2.10993,17.00789149105549,-4.93098771572113,151.724,443.9,6.9359375,443.9,6.9359375,37.790000915527344,0.2,OF,/players/james-wood/29518/stats/batting,OF,24.0,24.0,NL,James Wood,695578,29518,29518
LAD,Dodgers,62.0,236.512,268.839,64.4734,39.1967,12.3147,1.54554,11.4165,39.5656,37.2295,26.7073,0.585567,32.0888,2.18828,2.5823,0.357288,3.62175,3.25606,1.02513,0.272601,0.348404,0.482549,0.830953,0.359071,0.099343,0.11936,0.832294,0.209948,4.8418,0.271267,,,41.2737,9.19253,0.13,-0.139201,-0.139201,2.08882,8.893583700060844,3.0003703832626343,127.78,360.9,5.820967741,360.9,5.820967741,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,OF,22.0,22.0,NL,Mookie Betts,605141,13611,13611
SEA,Mariners,58.0,226.899,250.634,63.4601,39.1837,10.7671,0.985684,12.5237,37.8274,36.0797,18.7819,1.08584,55.402,3.21911,1.48378,0.250368,4.43613,8.26983,2.25528,0.279684,0.34132,0.50141,0.84273,0.362177,0.0749374,0.221047,0.339011,0.221726,5.7056,0.317445,,,39.1103,9.2016,-1.34,0.393315,0.393315,2.06043,11.943197935819626,-0.5281999111175537,139.162,361.2,6.227586206,361.2,6.227586206,9.489999771118164,0.01214575,OF,/players/julio-rodriguez/23697/stats/batting,OF,11.0,11.0,AL,Julio Rodríguez,677594,23697,23697
CIN,Reds,66.0,249.525,279.471,66.1501,38.6302,12.8232,1.92054,12.7762,44.4235,36.392,26.0864,1.43591,77.5206,1.53197,1.71039,0.616545,4.17066,14.8874,3.93684,0.265104,0.336264,0.485494,0.821758,0.353331,0.0933424,0.277384,0.33651,0.22039,6.97727,0.331641,,,41.6041,8.25434,1.16,0.993761,0.993761,2.05088,7.27920788526535,3.8939181566238403,118.595,392.2,5.942424242,392.2,5.942424242,8.449999809265137,0.02941176,SS,/players/elly-de-la-cruz/26668/stats/batting,SS,18.0,18.0,NL,Elly De La Cruz,682829,26668,26668
ATH,Athletics,53.0,194.339,230.456,53.7666,26.9154,10.3109,0.458556,16.0817,39.1373,40.9765,32.9329,2.54095,68.0478,1.65585,1.33975,0.188762,3.38178,2.11791,0.741123,0.276664,0.383707,0.582692,0.966399,0.408196,0.142903,0.295274,0.483967,0.306028,3.89347,0.337832,,,44.5678,17.067,-0.5,-0.202804,-0.202804,2.03347,16.458275750279427,-4.589506149291992,161.439,393.8,7.430188679,393.8,7.430188679,19.8700008392334,0.03365385,1B,/players/nick-kurtz/35110/stats/batting,1B,10.0,10.0,AL,Nick Kurtz,701762,35110,35110
PHI,Phillies,66.0,239.544,286.552,58.8668,26.7735,8.56054,0.298923,23.2339,47.3361,56.2407,42.2495,1.52387,85.4277,3.21054,1.33195,0.216284,3.87611,2.14661,0.718338,0.245745,0.364351,0.574953,0.939304,0.397924,0.147441,0.298122,0.494565,0.329208,3.16964,0.269508,,,53.0278,18.8328,0.0,-0.25115,-0.25115,2.01793,17.684387147426605,-7.0672712326049805,151.75,468.7,7.101515151,468.7,7.101515151,24.690000534057617,0.95294118,DH/OF,/players/kyle-schwarber/16478/stats/batting,DH/OF,26.0,26.0,NL,Kyle Schwarber,656941,16478,16478
SDP,Padres,66.0,255.731,290.188,70.3697,45.3013,13.2883,1.29162,10.4885,43.915,36.3641,29.3202,1.00513,55.3137,2.70539,1.90779,0.524182,5.54359,13.6921,3.48679,0.275171,0.353497,0.460276,0.813773,0.354351,0.101039,0.190613,0.530073,0.185105,6.11251,0.312147,,,43.4397,8.81093,2.49,0.879143,0.879143,1.98767,10.63941377401352,-0.43955326080322266,127.809,387.6,5.872727272,387.6,5.872727272,14.010000228881836,0.00766284,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,SS/OF,29.0,29.0,NL,Fernando Tatis Jr.,665487,19709,19709
NYY,Yankees,64.0,238.52,274.066,62.5928,31.8277,11.4949,0.629334,18.6408,42.0951,46.6395,29.6641,0.996003,59.6051,3.75449,1.85273,0.255598,4.70277,2.05745,0.666395,0.262422,0.350674,0.550348,0.901021,0.3836,0.108237,0.217484,0.497676,0.287926,3.76239,0.271096,,,47.5313,14.8264,-0.2,-0.212494,-0.212494,1.97712,15.419048443436623,-5.663619711995125,148.47,433.0,6.765625,433.0,6.765625,53.189998626708984,0.39013453,1B/DH,/players/ben-rice/29576/stats/batting,1B/DH,9.0,9.0,AL,Ben Rice,700250,29576,29576
