Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ARI,Diamondbacks,18.5282,66.3153,71.6529,15.8483,11.8041,3.02408,0.151508,0.868589,6.72688,6.79584,3.93038,0.0459699,9.15351,0.631929,0.297349,0.477875,1.71621,0.696023,0.213044,0.238983,0.286766,0.328448,0.615214,0.272098,0.0548531,0.127748,0.429385,0.0894644,3.69054,0.264702,-0.00142439,,6.08364,-2.3827,0.189545,-0.0557827,-0.0572071,-0.0140608,-2.5202634520828724,-0.0010744184255599976,70.9968,58.6,3.084210526,58.6,3.084210526,3.25163,0.000729173,1.89994,3.25163,-0.000729173,2.46675,999.0,0.13157895,2B/3B,/players/ildemaro-vargas/13324/stats/batting,15,NL,Ildemaro Vargas,545121,13324,13324
CIN,Reds,15.1931,49.2487,52.7456,11.1333,6.54471,2.54656,0.0954002,1.94667,6.25612,6.83502,3.11246,0.074721,18.2184,0.232476,0.121875,0.0300598,0.565384,1.41156,0.288371,0.226064,0.274649,0.400228,0.674877,0.291579,0.059009,0.345402,0.170841,0.174164,5.1812,0.314553,-0.0589476,,5.31259,-0.919705,-0.0294717,0.0994233,0.0404757,-0.0163628,-1.1819333173334599,-0.7328540850430727,80.446,51.0,3.4,51.0,3.4,3.79126,0.449352,1.90957,3.79126,-0.449352,2.45391,746.510009765625,0.0,OF,/players/rece-hinds/27493/stats/batting,18,NL,Rece Hinds,677956,27493,27493
ATH,Athletics,9.08623,31.646,34.89,7.39147,4.34019,1.85449,0.0803646,1.11642,4.37113,4.06685,2.94073,0.126598,8.39743,0.153031,0.108968,0.041252,0.351473,0.348242,0.108448,0.233567,0.300878,0.403082,0.70396,0.305565,0.0842859,0.240683,0.350195,0.169515,4.0025,0.282137,-0.0131419,,3.91035,-0.212169,-1.50747,-0.0230036,-0.0361455,-0.0167958,-0.25818343833088875,-1.0868065059185028,94.6156,31.4,3.488888888,31.4,3.488888888,2.94458,-0.448387,1.99218,2.94458,0.448387,2.34377,999.0,0.0,SS,/players/leodalis-de-vries/sa3023363/stats/batting,10,AL,Leo De Vries,815888,sa3023363,sa3023363
TOR,Blue Jays,19.2375,64.3901,70.3623,14.7808,10.0952,2.92017,0.112178,1.6532,7.56033,6.98681,4.51722,0.167361,19.776,1.00462,0.172865,0.277504,1.05078,1.6513,0.278209,0.22955,0.289686,0.35541,0.645096,0.283811,0.0641994,0.28106,0.228419,0.12586,4.90665,0.304346,-0.133202,,6.64323,-1.67063,-0.109347,0.114334,-0.0188673,-0.0206069,-1.6231969855725765,-0.9999710023403168,80.6545,69.3,3.647368421,69.3,3.647368421,3.0643,-0.610414,1.88007,3.0643,0.610414,2.49324,721.22998046875,0.0,OF,/players/joey-loperfido/29630/stats/batting,14,AL,Joey Loperfido,694388,29630,29630
TEX,Rangers,8.60128,26.3262,30.1346,5.69827,4.07576,1.15656,0.026664,0.439282,2.97674,2.78999,3.41022,0.0526239,7.18493,0.217134,0.146035,0.0350734,0.577577,0.0444316,0.0305701,0.216449,0.309826,0.312465,0.62229,0.281567,0.113166,0.238428,0.474635,0.0960159,2.09873,0.279021,-0.00896917,,2.79023,-0.770408,0.189974,-0.0541387,-0.0631079,-0.0218097,-0.7766474932432175,-0.4737050533294678,79.91,19.5,2.166666666,19.5,2.166666666,3.14873,-0.216077,2.01823,3.14873,0.216077,2.30903,750.2000122070312,0.17021277,1B/3B,/players/jonah-bride/24703/stats/batting,13,AL,Jonah Bride,681146,24703,24703
,,64.8369,230.11,254.845,55.2753,37.8461,10.893,0.661275,5.87498,26.7159,27.8951,19.4584,0.44801,52.2387,3.06594,2.09367,0.117389,4.58577,1.89213,0.365714,0.240213,0.305423,0.369892,0.675315,0.296564,0.0763537,0.204982,0.37249,0.129679,3.50206,0.283763,-0.521832,,26.6997,-3.41226,0.328725,-0.166929,-0.688761,-0.0227306,-4.173104345798492,-4.674123913049698,88.432,241.8,3.72,241.8,3.72,2.79054,0.593408,1.14705,2.79054,-0.593408,3.4706,999.0,0.1,1B/OF,/players/dominic-smith/15653/stats/batting,-1,,Dominic Smith,642086,15653,15653
,,13.9375,47.1157,49.7742,11.4645,9.55164,1.61896,0.0378686,0.255999,4.75099,3.69014,2.10573,0.00409835,13.1875,0.280624,0.105465,0.166692,1.06769,1.01154,0.250694,0.243326,0.279208,0.295595,0.574803,0.255885,0.0423057,0.264946,0.159677,0.0522691,4.32984,0.331831,0.0397049,,3.57083,-2.31037,-0.0797664,0.0208617,0.0605666,-0.02342,-2.2638848423957825,0.35040485113859177,60.4878,28.3,2.021428571,28.3,2.021428571,3.29727,-0.436536,2.00985,3.29727,0.436536,2.3202,999.0,0.0,SS,/players/tim-anderson/15172/stats/batting,-1,,Tim Anderson,641313,15172,15172
CIN,Reds,17.3819,47.3907,52.7708,10.2592,7.89402,1.87306,0.124435,0.367702,5.60957,3.51397,4.29252,0.0191011,14.4661,0.166654,0.15129,0.76971,0.741296,1.5291,0.291025,0.216482,0.28304,0.284534,0.567574,0.25648,0.0813426,0.27413,0.29673,0.0680521,5.24543,0.302417,-0.0252189,,3.81134,-2.42394,0.26762,0.105215,0.0799957,-0.0253675,-2.646795190870762,0.6431549489498138,56.4023,30.6,1.8,30.6,1.8,3.04428,-0.173383,1.9603,3.04428,0.173383,2.38626,999.0,0.046875,2B/OF,/players/garrett-hampson/19262/stats/batting,18,NL,Garrett Hampson,641658,19262,19262
WSN,Nationals,6.07007,21.0876,23.781,4.77947,3.85089,0.634748,0.0357573,0.25807,2.89356,1.93994,2.4336,0.00992305,5.9838,0.153528,0.060561,0.0457307,0.431479,0.255211,0.118646,0.226648,0.310365,0.296854,0.607219,0.276581,0.102334,0.251621,0.406698,0.0702058,3.98649,0.303321,0.0286071,,2.10568,-0.704231,-0.0450895,-0.0399817,-0.0113746,-0.0254636,-0.7139699328690767,-0.32611133903265,75.0724,15.9,2.65,15.9,2.65,2.93367,-0.266013,2.0527,2.93367,0.266013,2.26307,999.0,0.0,OF,/players/christian-franklin/sa3017510/stats/batting,24,NL,Christian Franklin,681047,sa3017510,sa3017510
BAL,Orioles,9.87063,31.7123,34.3626,6.70105,4.9753,1.03173,0.0241553,0.669859,4.02958,3.72376,2.33718,0.00971828,8.68622,0.187324,0.100627,0.0251569,0.427876,0.291223,0.122027,0.211307,0.268673,0.308734,0.577407,0.257216,0.0680151,0.252781,0.269067,0.0974265,3.82695,0.268568,0.0238569,,2.50234,-1.55787,0.0165504,-0.0411745,-0.0173176,-0.0258902,-1.5849047526717186,0.16887491196393967,61.4024,25.5,2.55,25.5,2.55,3.21621,-0.275161,1.97536,3.21621,0.275161,2.36619,999.0,0.0,3B,/players/bryan-ramos/25621/stats/batting,2,AL,Bryan Ramos,682868,25621,25621
