Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
,,12.0711,9.9544,30.78,30.78,0.0,0.0,,190.384,795.254,180.387,81.3954,73.4992,16.098,178.531,62.7098,0.4223,7.8452,3.47452,1.27688,8.43966,2.96448,2.84693,0.761,0.224495,0.0788551,0.14564000070095062,0.559,0.248913,0.309939,0.733142,3.47066,886.2,4.66421052631579,887.0,4.668421052631579,3.71933,3.81471,19.1928,0.39488,0.775131,0.869919,5.0,4.53,4.22,3.97,3.75,3.55,3.34,3.11,2.82,4.36,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,93.5,-1.0,,Framber Valdez,664285.0,17295,17295
NYY,Yankees,12.7199,9.2171,30.78,30.78,0.0,0.0,,189.434,791.286,177.732,77.7803,70.2875,18.8592,178.835,54.4175,0.6314,7.4357,3.33936,1.22549,8.49643,2.58538,3.28634,0.896,0.226005,0.068771,0.15723392367362976,0.506053,0.243657,0.298779,0.750287,3.52081,877.1000000000001,4.640740740740742,873.0,4.619047619047619,3.64748,3.70727,19.4957,0.398162,0.762757,0.860425,4.83,4.37,4.06,3.81,3.6,3.4,3.19,2.97,2.68,4.22,4.02,3.89,3.78,3.67,3.58,3.47,3.36,3.2,58.400001525878906,9.0,AL,Max Fried,608331.0,13743,13743
LAD,Dodgers,11.3353,7.8056,27.54,27.54,0.0,0.0,,161.291,667.873,144.951,67.5587,61.5348,17.3478,169.563,49.1848,0.4254,5.4358,3.43362,1.20363,9.46155,2.7445,3.44747,0.968,0.253885,0.0736439,0.18024099618196487,0.493667,0.236364,0.299297,0.745233,3.44673,783.3000000000002,4.865217391304349,762.0,4.732919254658385,3.60516,3.44526,15.8245,0.414377,0.834182,0.931433,5.0,4.49,4.16,3.89,3.66,3.44,3.22,2.98,2.68,4.31,4.11,3.97,3.85,3.75,3.64,3.54,3.42,3.25,25.399999618530273,22.0,NL,Yoshinobu Yamamoto,808967.0,33825,33825
HOU,Astros,12.0252,9.6324,30.78,30.78,0.0,0.0,,184.176,769.968,165.008,81.096,74.3152,20.8733,199.988,60.9376,0.5467,7.1738,3.6315,1.22679,9.77267,2.97779,3.28186,1.02,0.259736,0.079143,0.1805930957198143,0.472851,0.235103,0.299661,0.736313,3.54621,870.3000000000002,4.729891304347827,843.0,4.581521739130435,3.58668,3.28731,17.6519,0.424936,0.798469,0.904502,5.16,4.67,4.35,4.09,3.86,3.65,3.43,3.2,2.89,4.52,4.31,4.17,4.05,3.94,3.84,3.73,3.6,3.44,39.150001525878906,21.0,AL,Hunter Brown,686613.0,25880,25880
CIN,Reds,10.9956,10.6912,30.78,30.78,0.0,0.0,,183.816,769.427,156.725,85.7302,80.4333,28.1852,220.005,61.4411,0.4109,10.0741,3.93817,1.18687,10.7719,3.00828,3.58074,1.38,0.285933,0.0798531,0.20607995986938477,0.336922,0.224563,0.28582,0.741079,3.9019,836.0000000000002,4.543478260869566,783.0,4.255434782608695,3.57266,3.40522,16.5549,0.464285,0.819007,0.941453,5.44,4.94,4.6,4.33,4.1,3.87,3.65,3.4,3.08,4.81,4.58,4.42,4.29,4.17,4.06,3.94,3.8,3.62,46.70000076293945,18.0,NL,Hunter Greene,668881.0,22182,22182
PHI,Phillies,11.8534,9.6217,30.78,30.78,0.0,0.0,,180.975,752.182,159.156,77.8482,71.877,23.3458,198.808,56.8507,0.7168,5.5985,3.57449,1.19357,9.88687,2.82722,3.49703,1.161,0.264309,0.075581,0.18872785568237305,0.404959,0.23075,0.290454,0.753636,3.65027,852.1,4.707734806629834,815.0,4.502762430939226,3.50955,3.81902,17.3243,0.430407,0.797212,0.905979,5.07,4.58,4.25,4.0,3.77,3.56,3.34,3.1,2.8,4.43,4.22,4.08,3.96,3.85,3.74,3.63,3.51,3.34,70.55000305175781,26.0,NL,Jesús Luzardo,666200.0,19959,19959
MIN,Twins,11.2936,10.294,30.78,30.78,0.0,0.0,,182.4,753.408,163.675,82.8283,77.6457,26.5899,199.451,44.161,0.3631,8.6408,3.8312,1.13945,9.8413,2.179,4.51644,1.312,0.264731,0.058615,0.20611606538295746,0.336177,0.233619,0.288865,0.73271,3.71174,827.2999999999998,4.5456043956043946,798.0,4.384615384615385,3.4328,3.007,16.6869,0.435431,0.813109,0.922359,5.31,4.81,4.48,4.22,3.99,3.77,3.55,3.31,3.0,4.66,4.44,4.3,4.18,4.06,3.96,3.84,3.72,3.55,62.04999923706055,8.0,AL,Joe Ryan,657746.0,21390,21390
TEX,Rangers,11.1113,9.424,29.16,29.16,0.0,0.0,,174.547,723.06,163.08,76.0582,69.7351,20.2668,171.346,44.4892,0.6905,7.0737,3.59569,1.18919,8.83499,2.29396,3.85142,1.045,0.236974,0.0615291,0.1754450462758541,0.460481,0.24286,0.297599,0.733896,3.56748,814.2,4.652571428571429,804.0,4.594285714285714,3.39473,3.15809,16.848,0.437547,0.816437,0.926292,5.14,4.64,4.31,4.05,3.82,3.6,3.38,3.14,2.83,4.49,4.28,4.13,4.01,3.9,3.79,3.68,3.55,3.38,144.3000030517578,13.0,AL,Nathan Eovaldi,543135.0,9132,9132
SEA,Mariners,12.1485,10.6007,32.0,32.0,0.0,0.0,,195.095,800.882,175.91,84.1099,77.8019,26.1644,195.864,44.0229,0.6631,7.5323,3.58911,1.12731,9.03547,2.03084,4.44913,1.207,0.24456,0.054968,0.18959196656942368,0.394619,0.234758,0.283987,0.740977,3.66347,901.6,4.6235897435897435,873.0,4.476923076923077,3.28964,2.93153,19.0891,0.439473,0.768593,0.885366,5.05,4.57,4.26,4.01,3.78,3.57,3.36,3.13,2.83,4.46,4.24,4.09,3.97,3.86,3.75,3.63,3.51,3.34,42.54999923706055,11.0,AL,Bryan Woo,693433.0,30279,30279
LAD,Dodgers,11.341,7.948,27.54,27.54,0.0,0.0,,163.779,688.727,133.413,69.7668,64.1181,18.9074,200.445,71.6159,0.6522,4.4953,3.52342,1.25186,11.0149,3.93544,2.79889,1.039,0.291037,0.103983,0.18705381453037262,0.429979,0.217776,0.291168,0.757522,3.58232,806.1000000000001,4.915243902439025,745.0,4.5426829268292686,3.28665,3.42732,15.957,0.449018,0.834227,0.947392,5.08,4.57,4.23,3.96,3.72,3.5,3.27,3.03,2.72,4.42,4.2,4.05,3.92,3.81,3.7,3.58,3.45,3.28,62.599998474121094,22.0,NL,Blake Snell,605483.0,13543,13543
