Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
,,0.0476,0.0521,0.0121,0.9431,0.0,0.0,,1.0,4.289,1.0671,0.524,0.48662,0.145889,0.7293,0.2563,0.0258,0.0333,4.37958,1.3234,6.5637,2.3067,2.84549,1.313,0.17004,0.0597575,0.11028211936354637,0.419993,0.266815,0.294862,0.714289,4.44189,6.800000000000001,6.800000000000001,7.0,7.0,-0.000159129,-0.0470228,0.0046,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Caleb Boushley,676961.0,19736,19736
HOU,Astros,0.0492,0.0523,0.0267,0.8747,0.0,0.0,,1.0,4.341,0.9987,0.5269,0.49055,0.141667,0.9103,0.3852,0.0228,0.0378,4.41495,1.3839,8.1927,3.4668,2.36319,1.275,0.209698,0.0887353,0.12096291780471802,0.414156,0.2549,0.299031,0.722861,4.4252,6.800000000000001,6.800000000000001,7.0,7.0,-0.000162065,-0.0484556,0.0099,,,,,,,,,,,,,,,,,,,,,,999.0,21.0,AL,Peter Lambert,663567.0,17969,17969
CIN,Reds,0.0458,0.0523,0.0,1.0,0.0,0.0,,1.0,4.388,1.0089,0.5442,0.50517,0.138222,0.8722,0.4322,0.0252,0.0495,4.54653,1.4411,7.8498,3.8898,2.01805,1.244,0.198769,0.0984959,0.10027347505092621,0.452985,0.258275,0.300661,0.718907,4.63273,6.800000000000001,6.800000000000001,7.0,7.0,-0.000164126,-0.0417806,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,18.0,NL,Tejay Antone,622088.0,16233,16233
,,0.048,0.0518,0.013,0.939,0.0,0.0,,1.0,4.306,1.0352,0.5201,0.48134,0.134444,0.798,0.3205,0.0228,0.0412,4.33206,1.3557,7.182,2.8845,2.48986,1.21,0.185323,0.074431,0.11089177429676056,0.454675,0.262455,0.29907,0.715731,4.37201,6.800000000000001,6.800000000000001,7.0,7.0,-0.000166696,-0.049691,0.0054,,,,,,,,,,,,,,,,,,,,,,999.0,-2.0,,Craig Stammen,489334.0,7274,7274
,,0.0471,0.0509,0.0,1.0,0.0,0.0,,1.0,4.342,0.9971,0.5237,0.48639,0.129111,0.8563,0.386,0.0258,0.0514,4.37751,1.3831,7.7067,3.474,2.21839,1.162,0.197213,0.0888991,0.1083141341805458,0.427997,0.255365,0.297339,0.71477,4.41318,6.800000000000001,6.800000000000001,7.0,7.0,-0.000196556,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Luke Bard,572703.0,14288,14288
,,0.0486,0.0495,0.0,1.0,0.0,0.0,,1.0,4.399,1.0357,0.5167,0.47258,0.105333,0.7526,0.4217,0.0267,0.0549,4.25322,1.4574,6.7734,3.7953,1.78468,0.948,0.171084,0.0958627,0.07522163540124893,0.526211,0.264048,0.303598,0.718128,4.42907,6.800000000000001,6.800000000000001,7.0,7.0,-0.000208665,-0.0494483,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,,,Kevin Gowdy,666151.0,sa917928,sa917928
PHI,Phillies,1.1761,1.1774,0.0,24.0,0.0,0.6501,,24.0,103.448,22.9558,11.8969,11.0114,3.088,21.5596,9.7368,0.6038,1.2971,4.12928,1.36219,8.08485,3.6513,2.21424,1.158,0.20841,0.0941227,0.11428738385438919,0.432957,0.248401,0.29318,0.733033,4.39041,95.90000000000002,3.995833333333334,96.0,4.0,-0.000212994,0.092744,0.0,0.605042,2.04355,2.13124,7.2,5.9,5.11,4.52,4.03,3.59,3.17,2.75,2.25,5.26,4.95,4.75,4.57,4.42,4.27,4.12,3.95,3.72,999.0,26.0,NL,Kyle Backhus,679775.0,29615,29615
TEX,Rangers,0.0472,0.0509,0.0,1.0,0.0,0.0,,1.0,4.367,1.0304,0.5257,0.48468,0.119333,0.7764,0.405,0.0251,0.0451,4.36212,1.4354,6.9876,3.645,1.91704,1.074,0.177788,0.092741,0.08504694700241089,0.479419,0.263065,0.301561,0.717241,4.48397,6.800000000000001,6.800000000000001,7.0,7.0,-0.000220252,-0.0493004,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,13.0,AL,Patrick Murphy,641907.0,19712,19712
,,0.0475,0.0505,0.0,1.0,0.0,0.0,,1.0,4.346,0.9637,0.5156,0.47876,0.129556,0.9091,0.4297,0.0236,0.0424,4.30884,1.3934,8.1819,3.8673,2.11566,1.166,0.209181,0.0988725,0.11030832678079605,0.419012,0.248767,0.294205,0.724244,4.41746,6.800000000000001,6.800000000000001,7.0,7.0,-0.000244949,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Dinelson Lamet,659275.0,17186,17186
,,0.0472,0.0508,0.0,1.0,0.0,0.0,,1.0,4.335,0.9974,0.5215,0.48434,0.132111,0.8598,0.3832,0.0301,0.045,4.35906,1.3806,7.7382,3.4488,2.24374,1.189,0.198339,0.0883968,0.10994232445955276,0.425992,0.255298,0.296851,0.718525,4.41758,6.800000000000001,6.800000000000001,7.0,7.0,-0.000246335,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Mauricio Llovera,661440.0,20080,20080
,,0.0498,0.0565,0.0625,0.7065,0.0,0.0,,1.0,4.298,0.9952,0.523,0.48815,0.146333,0.8847,0.3454,0.0203,0.0382,4.39335,1.3406,7.9623,3.1086,2.56138,1.317,0.20584,0.080363,0.12547697126865387,0.392989,0.254241,0.294401,0.719887,4.41887,6.800000000000001,6.800000000000001,7.0,7.0,-0.000260917,-0.0470228,0.0249,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Spencer Howard,675921.0,23252,23252
,,0.0473,0.0508,0.0,1.0,0.0,0.0,,1.0,4.355,0.9602,0.5204,0.48442,0.132778,0.9439,0.4458,0.0337,0.0365,4.35978,1.406,8.4951,4.0122,2.11732,1.195,0.216739,0.102365,0.11437427252531052,0.405992,0.247941,0.295928,0.725836,4.42035,6.800000000000001,6.800000000000001,7.0,7.0,-0.000267453,-0.0470134,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Dominic Leone,608678.0,13763,13763
,,0.0485,0.053,0.0254,0.8804,0.0,0.0,,1.0,4.319,0.9647,0.5177,0.48396,0.146444,0.9377,0.381,0.0182,0.0377,4.35564,1.3457,8.4393,3.429,2.46115,1.318,0.21711,0.0882149,0.1288955807685852,0.372009,0.24734,0.290558,0.725884,4.41961,6.800000000000001,6.800000000000001,7.0,7.0,-0.000269338,-0.0470228,0.0099,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Alex Faedo,656412.0,19874,19874
MIN,Twins,0.0478,0.0503,0.0,1.0,0.0,0.0,,1.0,4.338,0.9903,0.5088,0.47285,0.130333,0.8906,0.3969,0.028,0.0322,4.25565,1.3872,8.0154,3.5721,2.24389,1.173,0.205302,0.0914938,0.11380822211503983,0.404227,0.253345,0.297776,0.729124,4.33557,6.800000000000001,6.800000000000001,7.0,7.0,-0.000272826,-0.0474157,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,8.0,AL,Anthony Misiewicz,664948.0,18152,18152
,,0.048,0.0501,0.0,1.0,0.0,0.0,,1.0,4.413,0.9747,0.5063,0.46543,0.107444,0.8819,0.4956,0.0263,0.0552,4.18887,1.4703,7.9371,4.4604,1.77946,0.967,0.199841,0.112305,0.08753683418035507,0.476991,0.252369,0.301879,0.730371,4.42051,6.800000000000001,6.800000000000001,7.0,7.0,-0.000279518,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Jesse Biddle,592145.0,11437,11437
,,0.0476,0.0505,0.0,1.0,0.0,0.0,,1.0,4.342,0.9802,0.5145,0.47682,0.128778,0.8714,0.4115,0.0243,0.0406,4.29138,1.3917,7.8426,3.7035,2.11762,1.159,0.200691,0.094772,0.10591892898082733,0.431009,0.251986,0.294638,0.724114,4.42275,6.800000000000001,6.800000000000001,7.0,7.0,-0.000304785,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Miguel Díaz,622766.0,18815,18815
,,0.0473,0.0507,0.0,1.0,0.0,0.0,,1.0,4.338,0.9644,0.5196,0.48504,0.137889,0.9335,0.4121,0.0263,0.0422,4.36536,1.3765,8.4015,3.7089,2.26523,1.241,0.215191,0.0949977,0.12019363790750504,0.386008,0.24832,0.29389,0.724066,4.42359,6.800000000000001,6.800000000000001,7.0,7.0,-0.000314338,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Ben Leeper,663510.0,sa3014907,sa3014907
,,0.0478,0.0503,0.0,1.0,0.0,0.0,,1.0,4.299,0.9857,0.5103,0.47688,0.145889,0.8892,0.3533,0.0269,0.0369,4.29192,1.339,8.0028,3.1797,2.51684,1.313,0.206839,0.0821819,0.12465689331293106,0.369989,0.252175,0.292239,0.730289,4.42389,6.800000000000001,6.800000000000001,7.0,7.0,-0.000317737,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Jarlín García,606424.0,18282,18282
,,0.0481,0.0499,0.0,1.0,0.0,0.0,,1.0,4.34,0.9762,0.5028,0.46562,0.127667,0.8669,0.4091,0.0259,0.0452,4.19058,1.3853,7.8021,3.6819,2.11904,1.149,0.199747,0.0942627,0.10548388212919235,0.422006,0.251229,0.293495,0.731414,4.4239,6.800000000000001,6.800000000000001,7.0,7.0,-0.000317855,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Cam Vieaux,664944.0,19529,19529
,,0.0481,0.0499,0.0,1.0,0.0,0.0,,1.0,4.355,0.9563,0.5028,0.46621,0.127111,0.9123,0.446,0.0264,0.0412,4.19589,1.4023,8.2107,4.014,2.04552,1.144,0.209483,0.102411,0.10707233101129532,0.411005,0.247247,0.293167,0.734679,4.42458,6.800000000000001,6.800000000000001,7.0,7.0,-0.000325526,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Michael Giacone,687870.0,sa3014802,sa3014802
,,0.0477,0.0504,0.0,1.0,0.0,0.0,,1.0,4.371,0.9255,0.5124,0.47717,0.129,0.9875,0.4657,0.0265,0.0639,4.29453,1.3912,8.8875,4.1913,2.12046,1.161,0.225921,0.106543,0.11937772482633591,0.396995,0.240928,0.292304,0.725921,4.42594,6.800000000000001,6.800000000000001,7.0,7.0,-0.000340861,-0.0470228,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Zac Houston,667677.0,sa874155,sa874155
,,0.0465,0.0515,0.0,1.0,0.0,0.0,,1.0,4.398,1.0733,0.5428,0.49989,0.111333,0.7288,0.3891,0.026,0.0593,4.49901,1.4624,6.5592,3.5019,1.87304,1.002,0.165712,0.088472,0.07723966985940933,0.510972,0.271749,0.309367,0.703847,4.47007,6.800000000000001,6.800000000000001,7.0,7.0,-0.000347027,-0.0441655,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,,,Phillips Valdez,570488.0,15605,15605
TOR,Blue Jays,0.0492,0.0513,0.0186,0.9126,0.0,0.0,,1.0,4.338,1.029,0.5214,0.48155,0.129556,0.7854,0.3567,0.0239,0.0414,4.33395,1.3857,7.0686,3.2103,2.20185,1.166,0.181051,0.0822268,0.09882434457540512,0.459198,0.261174,0.297343,0.717665,4.44286,6.800000000000001,6.800000000000001,7.0,7.0,-0.000362124,-0.0494483,0.0073,,,,,,,,,,,,,,,,,,,,,,999.0,14.0,AL,Pat Gallagher,693483.0,sa3020938,sa3020938
CHW,White Sox,0.0453,0.0527,0.0,1.0,0.0,0.0,,1.0,4.331,0.9801,0.529,0.49549,0.154444,0.9008,0.3844,0.0263,0.0415,4.45941,1.3645,8.1072,3.4596,2.34339,1.39,0.207989,0.0887555,0.11923342943191528,0.370338,0.250979,0.289718,0.727611,4.61901,6.800000000000001,6.800000000000001,7.0,7.0,-0.000380063,-0.0475057,0.0,,,,,,,,,,,,,,,,,,,,,,999.0,4.0,AL,Phil Fox,813636.0,sa3031609,sa3031609
HOU,Astros,0.0635,0.0572,0.1754,0.1754,0.0,0.0,,1.0,4.198,0.9978,0.4733,0.43504,0.128667,0.8528,0.2445,0.0035,0.0496,3.91536,1.2423,7.6752,2.2005,3.48793,1.158,0.203144,0.058242,0.1449023373425007,0.466286,0.255591,0.297401,0.723992,3.9845,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.087,,,,,,,,,,,,,,,,,,,,,,999.0,21.0,AL,Brandon Walter,687888.0,26056,26056
NYM,Mets,0.0634,0.0573,0.1754,0.1754,0.0,0.0,,1.0,4.246,0.8948,0.467,0.43147,0.124667,1.0236,0.3966,0.0024,0.0477,3.88323,1.2914,9.2124,3.5694,2.58094,1.122,0.241074,0.0934056,0.14766838401556015,0.42279,0.235368,0.29024,0.738136,4.0415,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0877,,,,,,,,,,,,,,,,,,,,,,999.0,25.0,NL,Tylor Megill,656731.0,21318,21318
BOS,Red Sox,0.0573,0.0637,0.1754,0.1754,0.0,0.0,,1.0,4.331,1.0572,0.5214,0.47926,0.112,0.8106,0.3185,0.005,0.0613,4.31334,1.3757,7.2954,2.8665,2.54505,1.008,0.187162,0.0735396,0.11362271755933762,0.512988,0.267564,0.312091,0.700878,4.10934,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0794,,,,,,,,,,,,,,,,,,,,,,999.0,3.0,AL,Tanner Houck,656557.0,19879,19879
,,0.0597,0.0603,0.1684,0.2084,0.0,0.0,,1.0,4.269,1.0133,0.4852,0.44582,0.122667,0.8114,0.3089,0.0041,0.0336,4.01238,1.3222,7.3026,2.7801,2.62674,1.104,0.190068,0.0723589,0.11770907044410706,0.456001,0.258067,0.297628,0.727531,4.1345,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0813,,,,,,,,,,,,,,,,,,,,,,749.7000122070312,-1.0,,Clayton Kershaw,477132.0,2036,2036
SDP,Padres,0.0583,0.0621,0.1714,0.1944,0.0,0.0,,1.0,4.213,0.9634,0.5038,0.47111,0.153444,0.9394,0.2731,0.0034,0.0512,4.23999,1.2365,8.4546,2.4579,3.43977,1.381,0.222977,0.0648232,0.15815335512161255,0.377905,0.247743,0.289699,0.717154,4.22401,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0786,,,,,,,,,,,,,,,,,,,,,,750.7999877929688,29.0,NL,Yu Darvish,506433.0,13074,13074
,,0.0582,0.0628,0.1754,0.1754,0.0,0.0,,1.0,4.296,0.9629,0.5067,0.47002,0.132889,0.95,0.3765,0.0038,0.0456,4.23018,1.3394,8.55,3.3885,2.52324,1.196,0.221136,0.0876397,0.13349627703428268,0.424995,0.248561,0.297387,0.72198,4.22899,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.081,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Jon Duplantier,641541.0,19546,19546
SFG,Giants,0.0521,0.0601,0.1072,0.4962,0.0,0.0,,1.0,4.273,1.0553,0.504,0.46543,0.131889,0.734,0.2519,0.0122,0.0345,4.18887,1.3072,6.606,2.2671,2.91386,1.187,0.171776,0.0589516,0.11282472312450409,0.434937,0.264712,0.295898,0.71551,4.24089,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0478,,,,,,,,,,,,,,,,,,,,,,999.0,30.0,NL,Nick Margevicius,676606.0,20395,20395
WSN,Nationals,0.0552,0.066,0.1754,0.1754,0.0,0.0,,1.0,4.283,0.9422,0.5005,0.4642,0.132111,0.9442,0.3931,0.0039,0.0395,4.1778,1.3353,8.4978,3.5379,2.40193,1.189,0.220453,0.0917815,0.12867148965597153,0.415793,0.244702,0.29202,0.725696,4.26198,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.082,,,,,,,,,,,,,,,,,,,,,,999.0,24.0,NL,Travis Sykora,805809.0,sa3023557,sa3023557
BOS,Red Sox,0.0565,0.0639,0.1712,0.1952,0.0,0.0,,1.0,4.325,1.011,0.5269,0.48751,0.125111,0.8752,0.3754,0.0045,0.0418,4.38759,1.3864,7.8768,3.3786,2.33138,1.126,0.202358,0.0867977,0.11556068807840347,0.462598,0.258713,0.304692,0.709601,4.26278,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0758,,,,,,,,,,,,,,,,,,,,,,999.0,3.0,AL,Yordanny Monegro,694057.0,sa3015476,sa3015476
,,0.0535,0.059,0.1096,0.4846,0.0,0.0,,1.0,4.324,1.0663,0.4986,0.45573,0.109444,0.6845,0.3241,0.0123,0.0404,4.10157,1.3904,6.1605,2.9169,2.112,0.985,0.158303,0.0749537,0.08334875851869583,0.500658,0.269302,0.302271,0.720834,4.28241,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0502,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Rob Kaminsky,641739.0,15792,15792
,,0.057,0.0641,0.1754,0.1754,0.0,0.0,,1.0,4.303,1.0654,0.5256,0.48583,0.131556,0.7799,0.2931,0.0041,0.0456,4.37247,1.3585,7.0191,2.6379,2.66087,1.184,0.181246,0.0681153,0.1131303682923317,0.463611,0.268749,0.305893,0.70926,4.30166,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0782,,,,,,,,,,,,,,,,,,,,,,999.0,,,Matt Dermody,571616.0,14844,14844
NYM,Mets,0.061,0.0594,0.1723,0.1903,0.0,0.0,,1.0,4.303,0.9697,0.4907,0.45207,0.126889,0.8678,0.3834,0.0044,0.0381,4.06863,1.3531,7.8102,3.4506,2.26343,1.142,0.201673,0.0891006,0.11257262527942657,0.442169,0.249826,0.291952,0.733673,4.31359,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0824,,,,,,,,,,,,,,,,,,,,,,999.0,25.0,NL,Jonathan Santucci,695558.0,sa3041559,sa3041559
STL,Cardinals,0.0537,0.0584,0.1067,0.4987,0.0,0.0,,1.0,4.34,0.9477,0.491,0.45312,0.121222,0.916,0.4388,0.0108,0.0432,4.07808,1.3865,8.244,3.9492,2.08751,1.091,0.21106,0.101106,0.10995391011238098,0.431704,0.245645,0.292996,0.735953,4.32503,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0483,,,,,,,,,,,,,,,,,,,,,,999.0,28.0,NL,Zack Thompson,668868.0,25918,25918
,,0.0562,0.0649,0.1754,0.1754,0.0,0.0,,1.0,4.307,1.0479,0.5285,0.48942,0.134556,0.8058,0.3114,0.0039,0.0411,4.40478,1.3593,7.2522,2.8026,2.58767,1.211,0.187091,0.0723009,0.11478988081216812,0.451015,0.264989,0.303019,0.709526,4.33026,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0776,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Nick Kingham,592468.0,11694,11694
WSN,Nationals,0.055,0.0662,0.1754,0.1754,0.0,0.0,,1.0,4.363,0.9338,0.5026,0.46149,0.109222,0.9258,0.4986,0.004,0.0495,4.15341,1.4324,8.3322,4.4874,1.8568,0.983,0.212193,0.114279,0.09791429340839386,0.48393,0.244777,0.296624,0.726696,4.34773,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0824,,,,,,,,,,,,,,,,,,,,,,999.0,24.0,NL,Jarlin Susana,703186.0,sa3018808,sa3018808
CLE,Guardians,0.0559,0.0652,0.1754,0.1754,0.0,0.0,,1.0,4.355,1.0458,0.5083,0.46369,0.106444,0.7228,0.3797,0.004,0.0492,4.17321,1.4255,6.5052,3.4173,1.90361,0.958,0.16597,0.0871871,0.07878300547599792,0.52701,0.266371,0.303326,0.71854,4.36001,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0821,,,,,,,,,,,,,,,,,,,,,,999.0,5.0,AL,Josh Hartle,691776.0,sa3025623,sa3025623
,,0.0568,0.0642,0.1754,0.1754,0.0,0.0,,1.0,4.325,1.0318,0.5218,0.48231,0.134444,0.8287,0.3409,0.0047,0.0379,4.34079,1.3727,7.4583,3.0681,2.43092,1.21,0.191607,0.0788208,0.11278612166643143,0.453012,0.261467,0.300818,0.718376,4.36191,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0788,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Kyle Gibson,502043.0,10123,10123
,,0.0574,0.0636,0.1754,0.1754,0.0,0.0,,1.0,4.246,0.9729,0.5157,0.48337,0.158111,0.9166,0.3055,0.0035,0.0324,4.35033,1.2784,8.2494,2.7495,3.00033,1.423,0.215874,0.0719501,0.14392370730638504,0.349998,0.248945,0.287567,0.72154,4.37108,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0786,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Luis Garcia,677651.0,23735,23735
LAD,Dodgers,0.0628,0.0579,0.1754,0.1754,0.0,0.0,,1.0,4.221,0.9787,0.5066,0.47458,0.167556,0.9257,0.2714,0.0061,0.0395,4.27122,1.2501,8.3313,2.4426,3.41083,1.508,0.219308,0.0642976,0.1550106555223465,0.360596,0.2503,0.287962,0.732136,4.39466,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0802,,,,,,,,,,,,,,,,,,,,,,999.0,22.0,NL,Julio Urías,628711.0,14765,14765
TEX,Rangers,0.0571,0.0637,0.1739,0.1829,0.0,0.0,,1.0,4.302,1.024,0.52,0.48009,0.132333,0.7902,0.3319,0.0041,0.0441,4.32081,1.3559,7.1118,2.9871,2.38084,1.191,0.183682,0.0771502,0.10653185099363327,0.462481,0.260825,0.296879,0.714058,4.40307,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0784,,,,,,,,,,,,,,,,,,,,,,999.0,13.0,AL,David Davalillo,699314.0,sa3020448,sa3020448
NYM,Mets,0.0606,0.0602,0.1754,0.1754,0.0,0.0,,1.0,4.275,1.0117,0.4972,0.45834,0.135111,0.7641,0.3024,0.0039,0.0446,4.12506,1.3141,6.8769,2.7216,2.52679,1.216,0.178737,0.0707368,0.10799999535083771,0.440163,0.257561,0.289419,0.726169,4.40438,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.083,,,,,,,,,,,,,,,,,,,,,,999.0,25.0,NL,Zach Thornton,804267.0,sa3023505,sa3023505
STL,Cardinals,0.0557,0.0654,0.1754,0.1754,0.0,0.0,,1.0,4.29,1.0298,0.5205,0.4823,0.138444,0.7762,0.3065,0.0039,0.0373,4.3407,1.3363,6.9858,2.7585,2.53246,1.246,0.180932,0.0714452,0.10948718339204788,0.427124,0.26096,0.294026,0.714062,4.41391,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0788,,,,,,,,,,,,,,,,,,,,,,999.0,28.0,NL,Tekoah Roby,694358.0,sa3014519,sa3014519
KCR,Royals,0.056,0.0649,0.174,0.182,0.0,0.0,,1.0,4.341,0.9968,0.5376,0.5022,0.142111,0.9173,0.3645,0.0043,0.0575,4.5198,1.3613,8.2557,3.2805,2.5166,1.279,0.211311,0.0839668,0.12734392285346985,0.391143,0.254351,0.298885,0.708654,4.41398,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0747,,,,,,,,,,,,,,,,,,,,,,999.0,7.0,AL,Alec Marsh,679525.0,27451,27451
CLE,Guardians,0.0537,0.0675,0.1754,0.1754,0.0,0.0,,1.0,4.355,0.9896,0.5325,0.49398,0.134556,0.9096,0.412,0.0052,0.0383,4.44582,1.4016,8.1864,3.708,2.20777,1.211,0.208863,0.0946039,0.11425947397947311,0.435134,0.253438,0.29891,0.716357,4.41606,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0768,,,,,,,,,,,,,,,,,,,,,,999.0,5.0,AL,Luis Ortiz,682847.0,27646,27646
,,0.0561,0.065,0.1754,0.1754,0.0,0.0,,1.0,4.363,1.1184,0.5294,0.48418,0.110667,0.6261,0.3276,0.004,0.0395,4.35762,1.446,5.6349,2.9484,1.91117,0.996,0.143502,0.075086,0.06841622292995453,0.527993,0.279887,0.309203,0.709956,4.4229,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0785,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Eric Jokisch,518852.0,11157,11157
MIL,Brewers,0.0559,0.0652,0.1754,0.1754,0.0,0.0,,1.0,4.284,1.0475,0.5267,0.48739,0.141778,0.7633,0.2864,0.0039,0.04,4.38651,1.3339,6.8697,2.5776,2.66515,1.276,0.178175,0.0668534,0.11132119596004486,0.452473,0.264681,0.296713,0.710932,4.43085,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0779,,,,,,,,,,,,,,,,,,,,,,999.0,23.0,NL,Tyson Hardin,824620.0,sa3025574,sa3025574
SEA,Mariners,0.0578,0.0632,0.1754,0.1754,0.0,0.0,,1.0,4.31,1.0489,0.4992,0.4557,0.119556,0.6603,0.3203,0.0039,0.038,4.1013,1.3692,5.9427,2.8827,2.0615,1.076,0.153202,0.0743155,0.07888631522655487,0.497745,0.26543,0.292998,0.723901,4.44366,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0835,,,,,,,,,,,,,,,,,,,,,,999.0,11.0,AL,Reid VanScoter,804577.0,sa3020839,sa3020839
,,0.0543,0.0639,0.1528,0.2818,0.0,0.0,,1.0,4.338,1.0118,0.532,0.49414,0.142111,0.8602,0.364,0.0096,0.0408,4.44726,1.3758,7.7418,3.276,2.36319,1.279,0.198294,0.0839096,0.11438450962305069,0.424012,0.257246,0.296732,0.717002,4.47658,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0654,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Frankie Montas,593423.0,14309,14309
,,0.0554,0.0657,0.1754,0.1754,0.0,0.0,,1.0,4.314,1.1151,0.5369,0.49549,0.135111,0.6553,0.2663,0.0029,0.0332,4.45941,1.3814,5.8977,2.3967,2.46076,1.216,0.151901,0.0617292,0.09017153456807137,0.468993,0.277768,0.303958,0.708328,4.47948,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0765,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Hyun Jin Ryu,547943.0,14444,14444
,,0.0557,0.0654,0.1754,0.1754,0.0,0.0,,1.0,4.299,0.9933,0.5337,0.49928,0.157778,0.9074,0.3263,0.0045,0.0445,4.49352,1.3196,8.1666,2.9367,2.78088,1.42,0.211072,0.0759014,0.13517098128795624,0.379012,0.252864,0.291832,0.715293,4.48385,6.800000000000001,6.800000000000001,7.0,7.0,-0.000381896,-0.00121267,0.0759,,,,,,,,,,,,,,,,,,,,,,999.0,-1.0,,Lance Lynn,458681.0,2520,2520
