Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
HOU,Astros,12.2846,9.60387,31.0,31.0,0.0,0.0,,180.575,747.197,151.791,76.9,72.23,19.6802,194.357,60.8743,0.546639,7.09076,3.6,1.17771,9.68689,3.03402,3.19276,0.980874,0.260114,0.0814702,0.17864421755075455,,0.223475,0.28399,0.733418,3.52846,882.2,4.874033149171271,829.0,4.580110497237569,3.93749,3.6582,13.4233,39.400001525878906,21,AL,Hunter Brown,686613,25880,25880
TOR,Blue Jays,12.7733,9.80999,32.0,32.0,0.0,0.0,,186.88,776.955,151.652,83.76,78.28,24.9174,224.796,68.8459,0.63956,6.2829,3.76991,1.17989,10.826,3.31557,3.26521,1.20001,0.28933,0.0886099,0.20072011649608612,,0.216083,0.280318,0.736682,3.66874,906.0999999999999,4.845454545454545,835.0,4.46524064171123,3.89415,3.29697,14.0648,70.5999984741211,14,AL,Dylan Cease,656302,18525,18525
ATL,Braves,10.9761,8.41431,28.0,28.0,0.0,0.0,,157.892,644.425,144.683,68.08,63.68,17.7505,153.443,31.725,0.597464,5.37069,3.62982,1.11727,8.74638,1.80836,4.83664,1.01179,0.238107,0.04923,0.18887750804424286,,0.238228,0.291038,0.714765,3.35781,765.8,4.846835443037975,751.0,4.753164556962025,3.83649,3.10617,11.256,79.55000305175781,16,NL,Spencer Schwellenbach,680885,31846,31846
MIN,Twins,10.9724,10.3985,31.0,31.0,0.0,0.0,,172.98,703.092,144.381,77.59,72.65,26.4257,188.478,40.1632,0.443484,7.56547,3.77992,1.06685,9.80633,2.08966,4.69279,1.3749,0.26807,0.0571237,0.21094602718949318,,0.220306,0.2678,0.724876,3.76969,818.0000000000001,4.728323699421966,759.0,4.38728323699422,3.76024,3.0182,12.2584,62.75,8,AL,Joe Ryan,657746,21390,21390
,,11.3258,9.19882,29.0,29.0,0.0,0.0,,169.621,702.162,155.215,72.69,67.66,16.9134,155.978,46.4957,0.543567,5.52467,3.59,1.18918,8.27611,2.46704,3.35468,0.897418,0.22214,0.0662179,0.15592169761657715,,0.23874,0.289788,0.724705,3.51233,801.9000000000001,4.717058823529412,785.0,4.617647058823529,3.70145,3.36165,12.6692,168.6999969482422,-1,,Ranger Suárez,624133,17277,17277
CIN,Reds,10.7314,11.0023,31.0,31.0,0.0,0.0,,178.839,739.22,146.646,83.57,78.49,26.9367,208.876,56.3562,0.484966,9.3208,3.94998,1.13511,10.5116,2.8361,3.70635,1.35558,0.282562,0.0762374,0.20632468163967133,,0.217723,0.273477,0.722558,3.85901,833.3,4.655307262569832,767.0,4.284916201117318,3.52249,2.7737,13.38,46.79999923706055,18,NL,Hunter Greene,668881,22182,22182
,,12.0758,9.92804,31.0,31.0,0.0,0.0,,182.435,764.001,163.879,79.33,73.58,16.3095,173.311,63.3028,0.476694,8.43309,3.6299,1.24527,8.54989,3.12289,2.73781,0.80459,0.226846,0.0828569,0.1439894735813141,,0.236728,0.293586,0.723527,3.57699,856.6,4.706593406593407,835.0,4.587912087912088,3.50164,3.50661,13.7621,94.1500015258789,-1,,Framber Valdez,664285,17295,17295
MIL,Brewers,10.6679,8.55927,28.0,28.0,0.0,0.0,,155.008,626.39,122.162,64.08,59.94,21.7598,172.172,41.2334,0.445872,5.8894,3.48021,1.05411,9.99655,2.39407,4.17554,1.26341,0.274863,0.065827,0.20903632789850235,,0.21089,0.260557,0.747115,3.65061,762.2,4.91741935483871,692.0,4.464516129032258,3.45535,3.34352,10.6665,114.80000305175781,23,NL,Brandon Woodruff,605540,16162,16162
MIL,Brewers,12.2672,9.79894,31.0,31.0,0.0,0.0,,183.458,757.512,143.737,80.01,75.01,25.4097,203.674,67.0793,0.465614,8.3775,3.67981,1.14912,9.99174,3.29074,3.03631,1.24654,0.268872,0.0885521,0.18031997233629227,,0.21074,0.261224,0.746429,3.94922,855.3000000000001,4.673770491803279,773.0,4.224043715846994,3.45162,3.46457,13.9726,63.099998474121094,23,NL,Freddy Peralta,642547,18679,18679
TEX,Rangers,10.9386,10.0849,31.0,31.0,0.0,0.0,,167.772,675.987,133.763,73.48,69.16,25.208,182.839,43.1586,0.476448,4.51989,3.71004,1.05454,9.80824,2.31521,4.23643,1.35226,0.270476,0.0638454,0.20663101226091385,,0.212894,0.258304,0.730363,3.76135,809.3000000000001,4.817261904761905,737.0,4.386904761904762,3.33446,3.22564,11.32,44.95000076293945,13,AL,Jacob deGrom,594798,10954,10954
