Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TEX,Rangers,123.003,454.375,526.432,125.305,74.0115,23.4953,0.75979,27.0382,70.0217,82.4435,58.7677,8.42605,97.3036,4.62701,4.28274,0.471025,10.3431,1.69866,0.660398,0.275774,0.361457,0.509346,0.870803,0.368296,0.111634,0.184836,0.603962,0.233572,2.60911,0.293933,,,85.8126,23.6106,-0.08,-0.782197,-0.782197,4.62275,23.821869730949402,3.241840288043022,139.654,765.2,6.221138211,765.2,6.221138211,99.48999786376953,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
ARI,Diamondbacks,140.796,537.063,615.658,146.717,85.8878,29.5755,2.64307,28.611,85.4968,93.5527,66.6574,4.39113,102.219,6.35062,4.27119,0.61948,12.6488,4.70001,1.75125,0.273185,0.357659,0.497915,0.855574,0.3655,0.10827,0.166032,0.652104,0.224731,3.88628,0.28771,,,98.9597,26.2149,-0.25,-0.797156,-0.797156,4.60734,24.727278888225555,-0.17837003618478775,134.98,885.8,6.282269503,885.8,6.282269503,32.59000015258789,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
LAD,Dodgers,142.861,527.834,619.944,143.676,83.1537,28.9154,2.03417,29.5724,96.4773,88.4841,81.2238,5.79117,87.5272,3.54038,5.10208,0.808376,8.84879,18.432,5.42639,0.272199,0.369823,0.502765,0.872588,0.372224,0.131018,0.141186,0.927983,0.230567,5.08911,0.274394,,,103.033,29.7816,0.35,0.393887,0.393887,4.59785,30.5774884223938,-6.263934999704361,141.079,931.1,6.511188811,931.1,6.511188811,14.40999984741211,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
ARI,Diamondbacks,138.309,525.174,603.598,136.036,74.3556,27.764,9.31602,24.6005,97.3636,74.9447,63.0656,2.57256,128.919,7.98438,3.92347,3.45001,7.27072,33.389,7.09355,0.25903,0.345058,0.487902,0.83296,0.356188,0.104483,0.213585,0.489186,0.228872,8.24987,0.296704,,,92.4578,21.138,7.06,2.82992,2.82992,4.53358,23.290975332260132,0.9382643699645996,128.601,860.2,6.233333333,860.2,6.233333333,12.210000038146973,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
HOU,Astros,129.289,470.344,552.655,139.014,79.3802,28.6514,1.01216,29.9705,82.0383,87.5813,68.8763,8.9293,90.698,7.71371,5.21086,0.510469,9.30264,3.50476,1.14794,0.295559,0.390485,0.55194,0.942425,0.396905,0.124628,0.164113,0.759402,0.256381,3.16008,0.307264,,,102.924,37.6236,-0.44,-0.739866,-0.739866,4.52178,37.385942697525024,-12.211683690547943,158.532,916.0,7.100775193,916.0,7.100775193,35.04999923706055,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
SDP,Padres,148.053,564.551,645.732,150.027,92.7104,26.8181,3.29514,27.2034,95.3125,81.9914,69.8131,3.05675,129.381,6.23053,4.20072,0.936354,12.5034,23.6019,6.5091,0.265746,0.350608,0.46948,0.820088,0.353242,0.108115,0.200363,0.539595,0.203734,5.93569,0.297994,,,97.367,21.0688,4.32,0.960905,0.960905,4.46891,24.920053482055664,-2.7247023582458496,131.306,878.2,5.933783783,878.2,5.933783783,14.819999694824219,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ATL,Braves,143.665,533.129,629.346,146.484,91.6146,24.8809,2.00428,27.9845,99.9278,82.4297,83.3822,3.39326,135.947,8.47183,3.82835,0.534123,12.2723,27.8743,7.63994,0.274763,0.37903,0.486424,0.865454,0.373529,0.13249,0.216013,0.613343,0.211661,5.58033,0.317672,,,105.263,30.9005,-2.8,1.25737,1.25737,4.35436,31.83488893508911,-10.214013814926147,140.994,935.5,6.496527777,935.5,6.496527777,6.309999942779541,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
TBR,Rays,147.876,579.799,630.993,157.484,94.6019,25.1913,1.28361,36.4074,82.6727,105.271,40.9076,2.15906,120.726,4.59013,5.13442,0.562023,13.2075,5.20909,1.36671,0.271619,0.321973,0.507875,0.829848,0.352291,0.0648305,0.191327,0.338847,0.236256,3.44742,0.283022,,,94.6575,20.1008,-0.39,-0.428513,-0.428513,4.31708,19.16172757744789,1.3155224323272705,126.342,860.5,5.814189189,860.5,5.814189189,16.309999465942383,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
LAD,Dodgers,142.168,544.672,621.168,145.516,90.9944,29.9383,2.29186,22.2909,85.3267,79.5632,63.0871,1.23453,71.3317,5.79208,5.93082,0.690972,8.95136,8.65845,2.66323,0.267162,0.346087,0.453319,0.799406,0.345776,0.101562,0.114835,0.884418,0.186157,4.37548,0.26965,,,89.8978,16.502,-1.65,-0.406231,-0.406231,4.30703,16.49858045578003,4.9318519830703735,122.962,793.5,5.588028169,793.5,5.588028169,56.0,0.0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
SFG,Giants,151.787,568.145,649.13,134.327,75.5264,26.5428,1.25806,30.9998,86.288,86.8519,68.715,1.60999,169.919,3.78633,5.06059,0.484965,7.78505,11.1179,3.03537,0.236431,0.320313,0.451267,0.77158,0.332503,0.105857,0.261763,0.4044,0.214837,4.3078,0.277547,,,86.9491,10.2494,0.76,0.0139473,0.0139473,4.24779,12.13391093723476,7.787175893783569,115.753,789.3,5.192763157,789.3,5.192763157,133.36000061035156,0.00628931,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
TOR,Blue Jays,152.948,577.546,662.514,168.31,109.162,31.6165,0.528151,27.0034,91.7136,91.5109,72.926,6.96869,89.212,7.13747,4.30166,0.603083,16.5744,5.74913,2.18367,0.291422,0.375236,0.48826,0.863497,0.370298,0.110075,0.134657,0.817446,0.196838,3.15117,0.303472,,,109.072,30.7908,-0.37,-0.947621,-0.947621,4.18498,30.467422366142273,-12.366207242012024,140.232,960.9,6.280392156,960.9,6.280392156,17.969999313354492,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
PHI,Phillies,143.444,572.445,627.633,162.592,111.044,28.8397,4.08564,18.6222,85.2062,75.2542,38.899,0.298396,114.14,5.30119,4.18006,0.759241,11.6536,24.3621,6.13495,0.28403,0.333092,0.446277,0.779369,0.336853,0.0619773,0.181857,0.340802,0.162247,6.14709,0.324355,,,86.2864,12.1267,-0.43,1.33715,1.33715,4.02973,12.294050335884094,6.210925877094269,114.729,787.1,5.504195804,787.1,5.504195804,27.790000915527344,0.00714286,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
LAD,Dodgers,124.228,427.106,500.64,110.879,67.8203,21.0076,1.56501,20.4865,68.762,67.3764,56.8368,2.27531,93.8781,9.18144,5.90764,0.45889,7.74182,2.92892,0.920361,0.259606,0.354482,0.460018,0.8145,0.35173,0.113528,0.187516,0.605432,0.200412,3.60484,0.283676,,,74.8747,15.7202,-2.55,-0.659658,-0.659658,3.93772,15.385191440582275,6.445616960525513,127.041,655.8,5.288709677,655.8,5.288709677,104.44000244140625,0.00980392,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
