Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ATL,Braves,124,445,534,124,78,21,2,22,90,63,78,3,108,7,4,1,,24,6,0.278016,0.390455,0.484891,0.875346,0.378453,0.145322,0.202104,0.719048,0.206875,5.94761,0.318861,0.963758,,91.5293,28.3784,-3.22649,1.07937,2.04313,3.92169,30.147286891937256,-9.609668731689453,144.367,812.3,6.550806451,812.3,6.550806451,5.260000228881836,0.04032258,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670,18401,18401
TOR,Blue Jays,130,486,562,144,91,28,0,24,78,83,67,9,75,5,4,0,,5,2,0.296097,0.384502,0.505431,0.889933,0.379204,0.118624,0.134097,0.884618,0.209334,2.83784,0.306727,-0.367536,,96.5264,30.1641,-0.660947,-0.720189,-1.08773,3.90202,29.60554051399231,-10.814342617988586,146.367,847.1,6.516153846,847.1,6.516153846,18.049999237060547,0.14594595,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489,19611,19611
ARI,Diamondbacks,128,468,554,124,86,23,5,11,76,57,70,1,73,6,4,6,,21,6,0.265946,0.366381,0.406745,0.773125,0.341596,0.127167,0.131406,0.967743,0.140798,6.3625,0.292238,0.257061,,78.3205,12.8415,0.442008,0.633593,0.890653,3.88163,13.110606968402863,6.379507660865784,118.605,676.1,5.28203125,676.1,5.28203125,76.7699966430664,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15.0,NL,Geraldo Perdomo,672695,22799,22799
TBR,Rays,127,501,550,134,78,23,1,33,75,91,41,1,102,3,4,1,,5,1,0.268388,0.325994,0.512581,0.838576,0.356797,0.0748013,0.185903,0.402367,0.244194,3.23197,0.275475,-0.0702892,,84.5289,19.5348,-1.85652,-0.47799,-0.548279,3.79593,18.541505336761475,-0.3883105516433716,129.445,770.7,6.068503937,770.7,6.068503937,16.479999542236328,0.0326087,3B,/players/junior-caminero/28163/stats/batting,12.0,AL,Junior Caminero,691406,28163,28163
MIL,Brewers,128,446,514,120,79,24,1,16,68,63,61,3,93,3,3,1,,4,1,0.268741,0.357463,0.432064,0.789527,0.34372,0.118302,0.181762,0.650863,0.163323,3.26079,0.306228,-0.454314,,73.4824,12.7887,0.330066,-0.643928,-1.09824,3.68241,12.17299473285675,6.725899308919907,121.799,648.5,5.06640625,648.5,5.06640625,56.560001373291016,0.14044944,C,/players/william-contreras/20503/stats/batting,23.0,NL,William Contreras,661388,20503,20503
ARI,Diamondbacks,121,458,525,124,75,25,2,22,77,67,57,4,87,5,3,1,,4,1,0.270741,0.356802,0.475139,0.831941,0.357372,0.109471,0.166094,0.659094,0.204397,3.99402,0.290736,-0.0677471,,80.9231,18.8903,-0.0363751,-0.475992,-0.543739,3.65674,17.757720947265625,0.5052916817367077,129.413,717.9,5.933057851,717.9,5.933057851,32.63999938964844,0.17880795,2B,/players/ketel-marte/13613/stats/batting,15.0,NL,Ketel Marte,606466,13613,13613
DET,Tigers,117,441,506,118,71,29,4,14,72,59,57,0,68,3,3,2,,9,3,0.267357,0.353457,0.446109,0.799566,0.348027,0.112346,0.13377,0.839842,0.178752,5.40244,0.287278,0.37659,,74.1153,14.3596,-0.632389,-0.458611,-0.0820208,3.62449,14.24476619809866,3.759894847869873,124.036,647.0,5.529914529,647.0,5.529914529,999.0,0.0,3B/SS,/players/kevin-mcgonigle/33572/stats/batting,6.0,AL,Kevin McGonigle,805808,33572,33572
CHC,Cubs,122,484,529,122,74,24,4,19,71,71,30,1,130,7,3,4,,28,8,0.251008,0.303056,0.437159,0.740215,0.317948,0.0571576,0.246096,0.232258,0.186151,7.24675,0.302455,0.677156,,64.5724,2.10049,10.5465,1.43375,2.11091,3.62131,5.358281850814819,12.434759378433228,105.182,612.0,5.016393442,612.0,5.016393442,32.939998626708984,0.00537634,OF,/players/pete-crow-armstrong/27769/stats/batting,17.0,NL,Pete Crow-Armstrong,691718,27769,27769
CHC,Cubs,126,495,546,139,103,25,2,9,69,55,38,1,52,9,4,1,,23,5,0.281504,0.340668,0.395443,0.73611,0.323246,0.0690167,0.0952911,0.724271,0.113938,5.70434,0.298098,0.659618,,69.0264,4.51739,6.74177,1.59279,2.25241,3.56684,7.954071760177612,8.732662439346313,108.811,622.6,4.941269841,622.6,4.941269841,101.93000030517578,0.0,2B/SS,/players/nico-hoerner/21479/stats/batting,17.0,NL,Nico Hoerner,663538,21479,21479
SFG,Giants,129,483,556,119,70,26,2,20,71,66,63,1,132,6,3,0,,7,3,0.245664,0.338474,0.431275,0.769749,0.335585,0.113353,0.237047,0.478188,0.18561,4.32621,0.295881,-0.0272194,,75.8458,10.1676,2.79198,-0.610888,-0.638108,3.52092,11.131250083446503,4.777168273925781,117.865,670.1,5.194573643,670.1,5.194573643,163.6199951171875,0.00641026,3B,/players/matt-chapman/16505/stats/batting,30.0,NL,Matt Chapman,656305,16505,16505
