Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Greg Weissert ","BOS","RP",999,65,-6.28284076837711,-2.27887836762616,-4.536786904223032,-5.152147391019081,-6.969968175048,-25.220621606293378,11.693156450571745,-12.527465155721634,"Greg Weissert","20375",669711
"Mitch Keller ","PIT","SP",352.8500061035156,180,1.27230805208816,-2.6832634381672,-13.605518812704982,-10.832567286784867,1.48993063143529,-24.359110854133608,10.823493985509053,-12.535616868624553,"Mitch Keller","17594",656605
"Kolby Allard ","CLE","RP",999,42,-7.54203223845465,-2.6832634381672,-2.903672736035124,-2.8868835386859195,-9.23756991699198,-25.253421868334875,11.693156450571745,-12.56026541776313,"Kolby Allard","18694",663465
"Blade Tidwell ","SFG","RP",698.9199829101562,51,-6.28284076837711,-2.6832634381672,-4.171003370572933,-4.01876501855107,-8.10376904601999,-25.259641641688308,11.693156450571745,-12.566485191116563,"Blade Tidwell","31701",694918
"Andrew Hoffmann ","ARI","RP",999,50,-7.54203223845465,-2.6832634381672,-2.7256228691741504,-4.121117555774134,-8.19098449763322,-25.263020599203365,11.693156450571745,-12.56986414863162,"Andrew Hoffmann","29633",694851
"Nestor Cortes ",,"SP",745.22998046875,53,-6.28284076837711,-2.6832634381672,-4.3522811707432885,-3.300796365386761,-7.8421226911803,-24.46130443385466,10.823493985509053,-12.63781044834561,"Nestor Cortes","17874",641482
"Steven Cruz ","KCR","RP",999,45,-7.54203223845465,-2.6832634381672,-2.724008902519459,-4.1196166631712705,-8.36541540085968,-25.43433664317227,11.693156450571745,-12.741180192600524,"Steven Cruz","23165",674444
"Elvis Alvarado ","ATH","RP",711.0800170898438,58,-6.28284076837711,-1.47010822654406,-4.353895137397982,-6.38187873029871,-6.969968175048,-25.458691037665858,11.693156450571745,-12.765534587094114,"Elvis Alvarado","21662",665660
"Andre Granillo ","STL","RP",999,44,-7.54203223845465,-2.6832634381672,-3.084950536205479,-3.708705621676154,-8.45263085247291,-25.471582686976397,11.693156450571745,-12.778426236404655,"Andre Granillo","29542",701552
"Justin Verlander ",,"SP",481.4599914550781,143,0.0131165820106127,-2.6832634381672,-12.509782178409369,-7.947184640701882,-1.47539472341452,-24.602508398682364,10.823493985509053,-12.77901441317331,"Justin Verlander","8700",434378
"Alan Rangel ","PHI","RP",999,56,-6.28284076837711,-2.6832634381672,-5.075778404770025,-3.5070023324357495,-7.92933814279353,-25.47822308654362,11.693156450571745,-12.785066635971871,"Alan Rangel","19524",660604
"Ty Adcock ","SDP","RP",999,50,-7.54203223845465,-2.6832634381672,-3.6287839367165513,-3.607853977055954,-8.01655359440676,-25.478487184801125,11.693156450571745,-12.785330734229378,"Ty Adcock","25651",686654
"Ethan Roberts ","CHC","RP",999,58,-6.28284076837711,-2.6832634381672,-4.353895137397982,-4.8420879941441655,-7.31882998150092,-25.48091731958738,11.693156450571745,-12.787760869015637,"Ethan Roberts","24930",681799
