Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,135.0,523.383,582.612,141.903,92.1569,23.1299,4.93132,21.6848,82.633,75.082,46.8315,3.33884,126.672,8.40383,3.40738,0.586761,10.2711,21.2459,5.66299,0.271126,0.338711,0.458459,0.79717,0.342871,0.0803819,0.21742,0.369707,0.187333,6.56054,0.317673,,,82.9441,14.1039,-0.88,0.979088,0.979088,4.17416,19.70240753889084,1.033265233039856,127.267,762.3,5.646666666,762.3,5.646666666,9.489999771118164,0.00540541,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594,23697,23697
HOU,Astros,105.0,373.544,446.373,110.396,59.5265,22.1255,0.667457,28.0763,69.6392,78.9473,61.6303,8.44018,68.7132,6.54686,4.15301,0.499499,7.29271,2.79623,1.01422,0.295536,0.400501,0.583827,0.984328,0.41148,0.138069,0.153937,0.896921,0.288291,3.10071,0.293049,,,88.4129,35.6704,-0.75,-0.643435,-0.643435,4.17004,35.43264186382294,-10.045808792114258,168.572,784.6,7.472380952,784.6,7.472380952,33.38999938964844,0.70833333,DH/OF,/players/yordan-alvarez/19556/stats/batting,21.0,AL,Yordan Alvarez,670541,19556,19556
CLE,Guardians,134.0,491.136,561.229,132.237,79.1135,26.5505,3.43109,23.1417,82.358,76.0168,60.4743,12.4012,63.2455,3.84123,5.06662,0.711003,5.91974,31.1901,8.8168,0.269247,0.350662,0.478635,0.829297,0.349654,0.107753,0.112691,0.956182,0.209388,6.37081,0.266206,,,82.9903,16.6768,1.32,1.76239,1.76239,4.16431,19.352218508720398,2.0235127806663513,126.592,785.5,5.861940298,785.5,5.861940298,6.28000020980835,0.16216216,3B,/players/jose-ramirez/13510/stats/batting,5.0,AL,José Ramírez,608070,13510,13510
NYM,Mets,132.0,488.38,559.853,125.133,77.651,24.7967,1.3109,21.3747,77.3631,69.8365,53.0686,0.857276,102.195,8.61976,4.01558,0.708224,8.62333,19.5629,6.27691,0.256221,0.337172,0.443662,0.780834,0.338954,0.0947902,0.182539,0.519288,0.187441,5.14817,0.281321,,,77.9234,11.7724,1.76,0.427867,0.427867,4.14229,14.415821611881256,7.43769907951355,121.081,694.8,5.263636363,694.8,5.263636363,25.350000381469727,0.01092896,SS,/players/francisco-lindor/12916/stats/batting,25.0,NL,Francisco Lindor,596019,12916,12916
TOR,Blue Jays,136.0,504.759,583.915,149.846,97.987,26.9892,1.11913,23.7511,83.6733,82.3508,68.5256,6.49418,74.8465,6.2125,3.75316,0.664282,15.1355,5.01842,2.00201,0.296867,0.385057,0.495934,0.880991,0.377625,0.117355,0.128181,0.915548,0.199067,3.40193,0.307614,,,99.6056,30.6115,-0.24,-0.913575,-0.913575,4.03608,30.24813336133957,-10.906920656561852,145.279,873.5,6.422794117,873.5,6.422794117,18.049999237060547,0.13888889,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489,19611,19611
ATL,Braves,129.0,471.44,561.268,130.207,80.8196,22.2245,2.81812,24.3452,91.1195,73.3151,77.7064,2.6439,116.732,8.13134,3.3789,0.612163,10.8589,22.7332,7.97067,0.276191,0.385343,0.490208,0.875552,0.378098,0.138448,0.207978,0.665683,0.214017,5.89819,0.317198,,,95.958,29.6398,-2.25,0.199752,0.199752,4.02339,29.551493600010872,-8.907208442687988,144.123,842.8,6.533333333,842.8,6.533333333,5.260000228881836,0.04201681,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670,18401,18401
ARI,Diamondbacks,126.0,463.525,535.642,126.27,75.2034,26.2019,1.76045,23.1043,74.1393,81.6834,62.0728,3.55512,86.1911,5.4986,3.65137,0.643249,11.5315,3.87084,1.43484,0.272412,0.362491,0.48607,0.848561,0.3642,0.115885,0.160912,0.720176,0.213657,3.59138,0.288268,,,85.5326,22.2424,-0.35,-0.732507,-0.732507,3.98489,20.909153521060944,0.2117283046245575,134.09,750.4,5.955555555,750.4,5.955555555,32.63999938964844,0.17687075,2B,/players/ketel-marte/13613/stats/batting,15.0,NL,Ketel Marte,606466,13613,13613
LAD,Dodgers,106.0,359.075,423.531,96.6127,58.6555,17.781,1.39545,18.7807,61.3514,61.0647,50.6623,1.78662,77.8913,7.6571,4.95436,0.466407,6.77079,2.33618,0.832108,0.26906,0.366835,0.483261,0.850096,0.365751,0.119619,0.183909,0.650423,0.214201,3.54973,0.291116,,,68.1638,18.1204,-2.0,-0.633962,-0.633962,3.83872,17.761049509048462,5.662443161010742,136.646,598.7,5.648113207,598.7,5.648113207,95.69000244140625,0.00819672,C,/players/will-smith/19197/stats/batting,22.0,NL,Will Smith,669257,19197,19197
LAA,Angels,110.0,392.169,474.487,99.4373,53.0959,18.6343,1.58482,26.1222,68.447,72.738,72.3818,5.67649,129.325,6.51576,2.96322,0.457523,5.86495,4.86394,1.45285,0.253557,0.37621,0.508985,0.885195,0.377377,0.152547,0.272557,0.559691,0.255427,4.04462,0.305881,,,80.8436,24.7793,-0.86,-0.456085,-0.456085,3.78309,23.773828357458115,-3.137175679206848,143.327,717.0,6.518181818,717.0,6.518181818,178.44000244140625,0.71052632,OF,/players/mike-trout/10155/stats/batting,1.0,AL,Mike Trout,545361,10155,10155
SDP,Padres,130.0,505.001,557.375,136.546,83.4293,30.7836,1.78737,20.5459,72.8538,74.294,41.5686,2.14187,111.391,2.85746,4.59883,3.34937,8.65195,10.6039,2.64313,0.270388,0.326649,0.460479,0.787128,0.337347,0.0745792,0.199849,0.373177,0.190091,4.75257,0.307153,,,76.851,10.9928,1.54,0.208463,0.208463,3.64441,13.696141123771667,3.3735986948013306,120.417,708.4,5.449230769,708.4,5.449230769,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29.0,NL,Jackson Merrill,701538,29490,29490
