Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CLE,Guardians,10.2533,8.52842,26.0,26.0,0.0,0.0,,157.846,659.159,128.551,67.46,63.14,16.9521,180.849,65.8928,0.398708,2.98156,3.60009,1.23186,10.3116,3.75705,2.74459,0.966569,0.274363,0.099965,0.17439770698547363,,0.217778,0.284339,0.743853,3.54885,779.7000000000002,4.9348101265822795,724.0,4.582278481012659,3.35274,3.21892,12.3487,144.74000549316406,5,AL,Gavin Williams,668909,30122,30122
SEA,Mariners,10.708,8.7695,28.0,28.0,0.0,0.0,,159.6,656.835,143.455,73.26,68.63,22.1513,152.582,38.809,0.434609,4.7501,3.87011,1.142,8.60422,2.18848,3.9316,1.24913,0.232298,0.0590849,0.17321327328681946,,0.233916,0.276606,0.720677,3.84617,715.6000000000001,4.472500000000001,688.0,4.3,3.23438,2.69989,11.7036,34.77000045776367,11,AL,Bryan Woo,693433,30279,30279
SEA,Mariners,9.75188,7.52841,25.0,25.0,0.0,0.0,,140.5,568.53,117.73,60.64,56.67,19.4104,152.609,31.8558,0.433923,5.78271,3.63011,1.06467,9.77568,2.04058,4.79063,1.24337,0.268427,0.0560317,0.21239574626088142,,0.221759,0.273969,0.726615,3.56241,687.5,4.910714285714286,645.0,4.607142857142857,3.17613,2.67092,9.96899,37.150001525878906,11,AL,Logan Gilbert,669302,22250,22250
NYY,Yankees,11.9222,7.74563,27.0,27.0,0.0,0.0,,166.05,691.42,149.894,73.25,67.9,17.6736,145.037,53.3786,0.440219,3.65212,3.68022,1.22416,7.86108,2.89315,2.71713,0.957918,0.209767,0.0772015,0.1325654238462448,,0.236281,0.280319,0.728297,3.80225,736.0,4.433734939759036,715.0,4.307228915662651,3.06267,3.09721,13.2376,50.04999923706055,9,AL,Max Fried,608331,13743,13743
SEA,Mariners,10.0818,8.35444,26.0,26.0,0.0,0.0,,153.738,640.909,138.442,73.59,68.67,20.8803,156.033,47.3012,0.553778,3.55519,4.02002,1.20818,9.13433,2.76906,3.2987,1.22236,0.243455,0.0738032,0.16965175420045853,,0.234627,0.284557,0.716585,3.86331,681.5000000000002,4.425324675324677,656.0,4.259740259740259,3.02632,2.20491,11.9026,171.0500030517578,11,AL,Luis Castillo,622491,15689,15689
LAD,Dodgers,9.69588,4.56991,20.0,20.0,0.0,0.0,,117.88,484.561,91.8303,45.75,42.7,11.8966,139.527,44.0836,0.314172,3.33461,3.2601,1.15299,10.6527,3.36573,3.16505,0.908289,0.287945,0.0909765,0.19696886837482452,,0.21007,0.279764,0.756036,3.28661,625.4000000000001,5.300000000000001,573.0,4.8559322033898304,3.01159,2.854,8.73713,1.2699999809265137,22,NL,Shohei Ohtani,660271,19755,19755
TEX,Rangers,9.19543,7.90039,25.0,25.0,0.0,0.0,,137.35,553.056,109.07,58.08,54.63,19.0914,149.778,36.2616,0.406506,2.6539,3.57969,1.05811,9.81435,2.37608,4.13048,1.25098,0.270819,0.0655659,0.20525269955396652,,0.21214,0.260602,0.735656,3.61114,679.7000000000002,4.96131386861314,621.0,4.532846715328467,3.00943,2.79731,9.40286,50.0099983215332,13,AL,Jacob deGrom,594798,10954,10954
TEX,Rangers,9.66236,8.36233,25.0,25.0,0.0,0.0,,152.275,642.39,134.762,71.93,67.17,17.9801,167.609,54.3632,0.467209,6.56475,3.96999,1.242,9.90627,3.21306,3.08313,1.06269,0.260914,0.0846264,0.17628765106201172,,0.231764,0.294998,0.714809,3.66909,705.3999999999999,4.64078947368421,679.0,4.467105263157895,2.96763,2.28515,12.1744,164.82000732421875,13,AL,MacKenzie Gore,669022,22201,22201
SEA,Mariners,9.7852,8.44386,26.0,26.0,0.0,0.0,,150.774,628.474,147.699,73.37,68.52,19.3769,138.244,34.3002,0.410169,5.73353,4.0901,1.2071,8.25208,2.04745,4.03043,1.15665,0.219968,0.0545769,0.16539131477475166,,0.251,0.297856,0.701415,3.76862,654.9000000000001,4.337086092715232,664.0,4.397350993377484,2.91358,2.11591,11.4397,64.58000183105469,11,AL,George Kirby,669923,25436,25436
MIN,Twins,8.30656,9.01751,25.0,25.0,0.0,0.0,,141.35,586.004,125.289,69.73,65.34,22.252,148.145,38.9283,0.394042,4.08768,4.16031,1.16177,9.43267,2.47863,3.80559,1.41682,0.252806,0.0664301,0.18637585639953613,,0.230739,0.276541,0.710086,3.99848,614.8000000000001,4.360283687943263,586.0,4.156028368794326,2.84293,1.7861,10.4224,78.52999877929688,8,AL,Joe Ryan,657746,21390,21390
