Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,9.09495,7.54636,24.0,24.0,0.0,0.0,,136.224,563.4,130.02,64.15,59.94,16.9538,123.408,31.3178,0.373008,5.15046,3.9601,1.18435,8.1533,2.06909,3.94052,1.12009,0.219042,0.0555871,0.1634550876915455,,0.246749,0.292486,0.706293,3.74433,597.3000000000001,4.391911764705883,597.0,4.389705882352941,2.72449,2.08846,9.98379,64.58000183105469,11,AL,George Kirby,669923,25436,25436
KCR,Royals,8.81539,7.34695,23.0,23.0,0.0,0.0,,133.239,557.53,109.088,59.93,56.11,16.8397,159.136,53.9887,0.431417,4.43308,3.79011,1.22394,10.7493,3.64682,2.94758,1.13748,0.28543,0.0968355,0.1885947436094284,,0.218566,0.285482,0.739397,3.70486,635.7,4.779699248120301,588.0,4.421052631578948,2.71861,2.31721,9.93552,48.15999984741211,7,AL,Cole Ragans,666142,21846,21846
NYY,Yankees,10.4759,6.59503,24.0,24.0,0.0,0.0,,141.432,585.28,121.269,58.79,54.69,13.7031,126.093,48.4497,0.373277,5.33355,3.48019,1.2,8.0239,3.08309,2.60255,0.871992,0.21544,0.0827804,0.1326599270105362,,0.228165,0.274613,0.736899,3.75242,649.6,4.607092198581561,616.0,4.368794326241135,2.69497,2.95828,10.6034,50.04999923706055,9,AL,Max Fried,608331,13743,13743
TEX,Rangers,9.23923,8.06889,24.0,24.0,0.0,0.0,,146.64,623.84,130.776,71.9,67.13,17.8221,162.829,59.3422,0.440066,5.63507,4.12009,1.2965,9.9936,3.64211,2.7439,1.09383,0.261011,0.095124,0.1658867821097374,,0.234004,0.298653,0.715748,3.82363,656.8,4.468027210884354,632.0,4.299319727891157,2.63271,1.96307,11.849,164.82000732421875,13,AL,MacKenzie Gore,669022,22201,22201
CHC,Cubs,8.81951,7.03514,23.0,23.0,0.0,0.0,,128.892,532.09,110.5,57.87,53.85,16.8803,129.465,38.2779,0.354256,5.39781,3.76012,1.15429,9.04001,2.67279,3.38223,1.17868,0.243314,0.0719388,0.1713751256465912,,0.226243,0.273687,0.726419,3.84536,585.8999999999999,4.541860465116278,553.0,4.286821705426356,2.59987,2.26796,9.17836,212.75999450683594,17,NL,Matthew Boyd,571510,15440,15440
LAD,Dodgers,9.63897,4.5967,20.0,20.0,0.0,0.0,,118.0,485.54,99.27,49.19,45.89,12.4923,125.305,38.6159,0.288528,3.81441,3.50008,1.16852,9.55717,2.94528,3.24491,0.952802,0.258074,0.0795318,0.1785418838262558,,0.22403,0.284226,0.736697,3.46633,589.2,4.993220338983051,555.0,4.703389830508475,2.59562,2.51749,8.86936,26.639999389648438,22,NL,Yoshinobu Yamamoto,808967,33825,33825
BOS,Red Sox,9.23161,6.98453,23.0,23.0,0.0,0.0,,134.067,557.48,123.715,60.01,55.71,14.3083,116.816,39.5551,0.494556,4.1287,3.73985,1.21782,7.84194,2.65536,2.95325,0.960527,0.209543,0.0709534,0.1385897472500801,,0.240786,0.285902,0.720897,3.75742,598.9999999999999,4.470149253731343,590.0,4.402985074626866,2.5832,2.38315,10.0499,183.97999572753906,3,AL,Ranger Suarez,624133,17277,17277
DET,Tigers,6.32105,4.11744,15.0,15.0,0.0,0.0,,84.465,334.69,65.9578,29.64,27.59,8.72006,99.0701,18.577,0.234126,2.76739,2.9398,1.00083,10.5562,1.97944,5.33294,0.929149,0.296006,0.0555051,0.24050039798021317,,0.210495,0.278454,0.758984,2.88952,471.29999999999995,5.610714285714285,435.0,5.178571428571429,2.56434,2.34359,5.76851,7.019999980926514,6,AL,Tarik Skubal,669373,22267,22267
NYM,Mets,9.08164,6.945,23.0,23.0,0.0,0.0,,131.284,550.5,114.688,57.99,54.26,13.7219,133.799,48.8377,0.377195,6.57535,3.71972,1.24559,9.17239,3.348,2.73966,0.940684,0.243049,0.0887152,0.15433427691459656,,0.231653,0.290495,0.731287,3.72185,598.2,4.566412213740459,573.0,4.374045801526718,2.54581,2.40002,9.56473,87.29000091552734,25,NL,Nolan McLean,690997,33703,33703
SEA,Mariners,8.60227,7.26644,23.0,23.0,0.0,0.0,,129.421,532.61,115.815,61.41,57.23,19.2664,140.719,32.8279,0.406213,4.24263,3.9798,1.14852,9.78566,2.28287,4.28656,1.33979,0.264206,0.0616359,0.20257022604346275,,0.233715,0.287729,0.716963,3.75511,590.2999999999998,4.575968992248061,569.0,4.410852713178294,2.53479,1.95002,9.38637,37.150001525878906,11,AL,Logan Gilbert,669302,22250,22250
