Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,13,9,31,31,0,0,,177.0,727,156,69,63,21,176,35,,7,3.21309,1.08079,8.94041,1.77522,5.03623,1.0579,0.241559,0.0479643,0.1935950629413128,,0.227917,0.276965,0.754025,3.38368,871.9,4.925988700564972,838.0,4.734463276836158,3.49625,3.55085,19,63.59000015258789,11.0,AL,George Kirby,669923,25436,25436
SEA,Mariners,13,8,29,29,0,0,,167.0,682,136,62,57,20,189,40,,7,3.05293,1.05658,10.1742,2.15573,4.71961,1.0992,0.276781,0.058645,0.21813634037971497,,0.214724,0.272247,0.774718,3.29953,873.1999999999999,5.228742514970059,812.0,4.862275449101796,3.48959,3.72862,19,36.060001373291016,11.0,AL,Logan Gilbert,669302,22250,22250
LAD,Dodgers,12,7,26,26,0,0,,149.0,618,123,58,53,16,170,51,,6,3.22123,1.16489,10.2938,3.05994,3.36405,0.942066,0.275665,0.0819444,0.19372060894966125,,0.219063,0.286126,0.760027,3.35884,755.0000000000002,5.0671140939597334,706.0,4.738255033557047,3.46146,3.69711,16,25.09000015258789,22.0,NL,Yoshinobu Yamamoto,808967,33825,33825
TOR,Blue Jays,13,10,32,32,0,0,,189.0,797,156,82,75,23,220,75,,9,3.55173,1.21635,10.4538,3.55353,2.94181,1.11314,0.275994,0.0938177,0.1821764037013054,,0.218026,0.281073,0.752806,3.74173,898.1000000000003,4.751851851851853,834.0,4.412698412698413,3.43956,3.37915,19,74.52999877929688,14.0,AL,Dylan Cease,656302,18525,18525
TEX,Rangers,12,9,29,29,0,0,,176.0,727,161,78,71,20,168,49,,7,3.65144,1.19035,8.56808,2.49728,3.43097,1.01266,0.230431,0.067162,0.16326875984668732,,0.239433,0.291237,0.723473,3.65014,805.8000000000001,4.5784090909090915,788.0,4.4772727272727275,3.35273,2.99278,17,151.75999450683594,13.0,AL,Nathan Eovaldi,543135,9132,9132
LAA,Angels,12,9,31,31,0,0,,176.0,754,159,77,70,13,167,77,,8,3.58903,1.34271,8.57261,3.94855,2.17108,0.658708,0.222127,0.102312,0.1198154091835022,,0.23779,0.299288,0.731431,3.64124,808.1,4.591477272727273,790.0,4.488636363636363,3.30003,3.34325,18,331.9700012207031,1.0,AL,José Soriano,667755,22100,22100
CIN,Reds,7,4,23,31,0,1,,130.0,541,99,47,43,15,171,44,,6,2.96205,1.1025,11.802,3.05605,3.86185,1.05375,0.316041,0.0818367,0.23420460522174835,,0.202574,0.276265,0.791654,3.18367,716.1,5.508461538461539,651.0,5.007692307692308,3.23077,3.6818,15,111.79000091552734,18.0,NL,Chase Burns,695505,35333,35333
MIN,Twins,12,9,29,29,0,0,,171.0,708,150,75,69,25,188,42,,7,3.6218,1.12129,9.88713,2.21133,4.47112,1.33419,0.265524,0.0593866,0.20613756775856018,,0.227344,0.279258,0.74611,3.72314,796.9000000000001,4.660233918128656,759.0,4.43859649122807,3.18747,3.15252,17,64.76000213623047,8.0,AL,Joe Ryan,657746,21390,21390
MIN,Twins,11,9,29,29,0,0,,171.0,713,160,78,72,21,169,45,,7,3.77815,1.198,8.89965,2.36862,3.75732,1.12835,0.237428,0.0631909,0.17423757165670395,,0.242144,0.294734,0.723235,3.70005,773.1000000000001,4.521052631578948,764.0,4.4678362573099415,3.13485,2.83018,16,139.17999267578125,8.0,AL,Pablo López,641154,17085,17085
LAD,Dodgers,11,7,26,26,0,0,,152.0,638,117,61,56,17,188,68,,7,3.33095,1.21924,11.1502,4.0604,2.7461,1.00106,0.294894,0.107387,0.18750736117362976,,0.20745,0.279232,0.766328,3.59943,762.5,5.016447368421052,690.0,4.5394736842105265,3.12806,3.57411,16,74.79000091552734,22.0,NL,Blake Snell,605483,13543,13543
