Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ATL,Braves,142.472,532.28,626.877,147.938,91.2817,24.4459,3.19278,29.0178,101.605,83.4188,81.7775,3.368,135.003,8.45918,3.81953,0.540354,12.0268,25.8485,8.98737,0.277933,0.380267,0.499404,0.879671,0.378287,0.130452,0.215359,0.605744,0.221471,5.92593,0.319611,,,107.271,33.2008,0.0,0.313126,0.313126,4.76792,33.19219970703125,-7.447012901306152,144.253,950.3,6.692253521,950.3,6.692253521,7.400000095367432,0.03935185,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
MIL,Brewers,145.601,533.836,611.426,140.254,91.5691,27.4799,0.0,21.2052,73.4747,82.6548,67.6689,2.73075,121.127,4.76638,4.17988,0.975335,15.3742,5.36811,2.06494,0.262729,0.348414,0.433372,0.781786,0.340212,0.110674,0.198106,0.55866,0.170643,2.78825,0.300869,,,85.7262,13.4815,5.49,-0.836683,-0.836683,4.73403,13.219131886959076,12.708856582641602,119.396,748.6,5.12739726,748.6,5.12739726,53.88999938964844,0.20805369,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
HOU,Astros,130.822,476.619,559.742,138.948,77.1101,27.1758,1.25864,33.4038,84.6778,92.2607,69.5768,9.03291,93.2415,7.80889,5.21703,0.520254,9.25987,3.41395,1.13701,0.291529,0.386848,0.564083,0.950932,0.399174,0.124302,0.166579,0.7462,0.272554,3.13724,0.297149,,,105.275,39.1375,0.0,-0.743136,-0.743136,4.73269,38.90301239490509,-11.911262512207031,160.095,932.5,7.11832061,932.5,7.11832061,45.79999923706055,0.67669173,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
LAD,Dodgers,125.702,435.128,508.75,117.582,70.0558,21.3384,1.67057,24.5175,74.1777,74.4553,56.9858,2.30746,95.9413,9.33668,5.93986,0.47119,7.91109,2.89437,1.04536,0.270224,0.362452,0.495978,0.85843,0.36763,0.112011,0.188582,0.593965,0.225754,3.57584,0.290275,,,82.6553,22.5426,-2.55,-0.734312,-0.734312,4.66716,22.138139963150024,6.552353143692017,137.933,734.0,5.825396825,734.0,5.825396825,111.30999755859375,0.0723589,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
NYM,Mets,153.163,593.634,673.796,152.141,94.1148,29.2949,1.68457,27.0467,92.5267,83.3386,58.1875,1.11976,125.474,10.3247,4.91813,0.731945,10.0991,23.3584,7.28863,0.256287,0.330782,0.447994,0.778776,0.336988,0.0863577,0.18622,0.463741,0.191707,5.18035,0.28046,,,92.7067,13.0925,0.0,0.620653,0.620653,4.64556,16.379688322544098,6.608506679534912,119.734,834.6,5.45490196,834.6,5.45490196,17.0,0.01111111,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
SDP,Padres,145.382,563.123,643.455,153.324,93.0781,27.2706,4.07851,28.8972,98.2319,85.1508,68.9923,3.04155,128.405,6.2187,4.18028,0.940997,12.3885,22.9884,7.01414,0.272275,0.355689,0.489136,0.844825,0.36234,0.107222,0.199555,0.537303,0.216861,5.89526,0.30348,,,101.777,25.7477,0.0,0.634358,0.634358,4.47642,29.262167155742645,-6.9176106452941895,137.538,916.6,6.32137931,916.6,6.32137931,14.3100004196167,0.01783061,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
TOR,Blue Jays,123.268,428.424,482.998,114.913,77.512,19.4852,0.0,17.9156,59.502,61.5781,44.9084,1.59297,59.2532,4.54679,4.56349,0.55515,12.2293,0.187164,0.0975247,0.268222,0.340699,0.439155,0.779855,0.338002,0.0929784,0.122678,0.757906,0.170933,1.57672,0.272603,,,66.853,9.78302,7.31,-0.830185,-0.830185,4.32297,9.407914221286774,16.22069787979126,117.985,590.3,4.799186991,590.3,4.799186991,157.4600067138672,0.16698292,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
CLE,Guardians,153.117,584.025,658.363,157.816,95.9505,31.4087,4.13837,26.3186,92.4329,85.4158,63.0124,15.1497,73.1827,4.58715,6.03133,0.707274,7.13021,34.2448,9.56554,0.270222,0.342756,0.473366,0.816122,0.343307,0.0957107,0.111159,0.861028,0.203144,6.26926,0.268059,,,93.961,16.1703,0.0,1.95202,1.95202,4.30453,19.193366527557373,0.21923960745334625,122.219,898.5,5.872549019,898.5,5.872549019,5.309999942779541,0.09096459,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
LAD,Dodgers,143.416,530.184,621.669,142.52,83.0478,28.365,2.42975,28.6777,95.6052,86.6576,80.8306,5.81325,88.6598,3.56392,5.12637,0.816286,8.77121,17.2917,6.34892,0.268813,0.366166,0.493749,0.859915,0.367359,0.130022,0.142616,0.911694,0.224936,5.18187,0.272369,,,100.864,27.409,0.0,-0.208666,-0.208666,4.261,27.60342402756214,-6.63962984085083,137.747,906.5,6.339160839,906.5,6.339160839,17.690000534057617,0.06371912,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
TBR,Rays,148.725,580.845,632.264,156.048,92.5128,27.0144,0.598218,35.9228,81.6471,104.444,41.1039,2.1525,122.379,4.61189,5.13524,0.568023,13.225,4.67888,1.7294,0.268657,0.3194,0.502763,0.822163,0.349231,0.0650106,0.193556,0.335875,0.234106,3.02343,0.280878,,,93.2772,18.5703,0.0,-0.670771,-0.670771,4.22053,17.387990653514862,2.1018640995025635,124.234,856.9,5.751006711,856.9,5.751006711,14.859999656677246,0.05339806,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
LAD,Dodgers,142.842,552.734,629.315,146.952,93.4733,31.5819,1.5406,20.3566,84.1392,78.0634,63.2816,1.24365,71.9644,5.87886,6.05111,0.707783,9.19388,8.32311,3.18948,0.265865,0.344159,0.439063,0.783222,0.340002,0.100556,0.114354,0.879346,0.173199,3.98395,0.271394,,,88.1266,13.7681,0.0,-0.706971,-0.706971,4.19684,13.46924912929535,6.613055229187012,119.006,776.2,5.427972027,776.2,5.427972027,62.970001220703125,0.00871731,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
ARI,Diamondbacks,149.531,566.077,650.439,146.757,80.5055,31.3029,7.42705,27.5218,103.274,83.0107,67.7254,2.76844,135.451,8.61799,4.25734,3.761,8.21246,36.5919,7.1633,0.259253,0.344995,0.486647,0.831642,0.355966,0.104123,0.208245,0.500001,0.227394,7.72787,0.292701,,,99.5152,22.6608,0.0,3.3677,3.3677,4.12402,25.299015522003174,-6.631248474121094,128.449,931.9,6.212666666,931.9,6.212666666,8.229999542236328,0.01532567,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
PHI,Phillies,142.616,569.295,624.53,161.155,110.486,28.921,4.66931,17.0789,85.3009,73.0079,39.3218,0.288589,112.47,5.29623,4.17845,0.763272,11.4804,25.0721,5.56939,0.283079,0.332918,0.440285,0.773202,0.334592,0.0629622,0.180088,0.34962,0.157205,6.53205,0.324552,,,84.7134,10.9203,0.0,1.71161,1.71161,3.97472,11.467949509620667,6.602592468261719,113.181,767.7,5.368531468,767.7,5.368531468,27.059999465942383,0.00478851,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
SFG,Giants,153.835,574.634,655.935,134.281,75.813,27.9377,1.45436,29.0758,85.2559,84.4189,69.2541,1.619,174.817,3.84,5.10603,0.492705,7.77057,10.7065,3.5186,0.233681,0.317653,0.439157,0.756811,0.327019,0.105581,0.266516,0.396151,0.205477,4.45247,0.279915,,,84.9402,7.43647,0.0,-0.271984,-0.271984,3.88785,9.054635018110275,7.121991157531738,111.997,763.6,4.958441558,763.6,4.958441558,131.57000732421875,0.00676329,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
LAA,Angels,149.594,570.702,637.627,141.908,84.4157,28.9476,2.13373,26.4105,85.7238,75.8983,43.6043,2.80729,159.044,16.1883,3.9006,3.23203,8.54885,26.9811,8.12133,0.248654,0.317941,0.445686,0.763627,0.329046,0.0683852,0.249431,0.274164,0.197032,5.87101,0.296795,,,83.6191,8.27851,0.0,1.13692,1.13692,3.84172,8.677133440971375,6.925647735595703,110.033,773.0,5.153333333,773.0,5.153333333,32.86000061035156,0.0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
