Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,13,10,32,32,0,0,,195.0,788,169,81,75,25,197,43,,9,3.46962,1.08084,9.09076,1.96036,4.63729,1.16161,0.250309,0.0539774,0.1963311918079853,,0.2287,0.278599,0.737321,3.57814,934.1,4.7902564102564105,888.0,4.553846153846154,3.52529,3.30534,19,39.2599983215332,11.0,AL,Bryan Woo,693433,30279,30279
BOS,Red Sox,12,9,29,29,0,0,,169.0,713,166,74,68,17,149,49,,5,3.62104,1.26961,7.92985,2.59998,3.04996,0.890119,0.208853,0.0684774,0.1403760090470314,,0.251444,0.301956,0.734914,3.61379,745.9000000000002,4.413609467455623,760.0,4.497041420118343,3.35756,3.41206,17,166.17999267578125,3.0,AL,Ranger Suárez,624133,17277,17277
PHI,Phillies,10,6,24,24,0,0,,147.0,598,124,59,54,16,160,39,,7,3.3164,1.10837,9.81371,2.36255,4.15387,1.00418,0.268121,0.0645474,0.20357384532690048,,0.225034,0.287185,0.744176,3.32883,750.6,5.106122448979592,709.0,4.8231292517006805,3.32526,3.60306,15,142.2899932861328,26.0,NL,Zack Wheeler,554430,10310,10310
SEA,Mariners,12,9,31,31,0,0,,173.0,711,160,74,68,21,170,32,,7,3.52715,1.11195,8.83292,1.67497,5.27346,1.08016,0.239326,0.045383,0.19394254684448242,,0.238984,0.290636,0.726738,3.4128,828.9000000000001,4.791329479768787,815.0,4.710982658959537,3.25208,2.68256,18,62.939998626708984,11.0,AL,George Kirby,669923,25436,25436
MIN,Twins,11,9,29,29,0,0,,169.0,703,158,76,70,20,168,44,,7,3.74877,1.19874,8.97654,2.34087,3.8347,1.07169,0.239261,0.0623937,0.17686738073825836,,0.242824,0.298125,0.72429,3.59767,776.8000000000002,4.596449704142013,768.0,4.544378698224852,3.20358,2.91339,16,138.7899932861328,8.0,AL,Pablo López,641154,17085,17085
ATL,Braves,11,8,28,28,0,0,,169.0,689,156,72,66,20,165,35,,7,3.52051,1.12886,8.79943,1.86,4.73089,1.08674,0.240167,0.0507657,0.18940122798085213,,0.241076,0.293908,0.733341,3.48643,803.0000000000001,4.751479289940829,789.0,4.668639053254438,3.15494,3.5365,16,81.70999908447266,16.0,NL,Spencer Schwellenbach,680885,31846,31846
MIN,Twins,11,10,29,29,0,0,,167.0,685,147,75,70,24,183,40,,9,3.78972,1.1174,9.82351,2.1362,4.59858,1.31333,0.266656,0.0579865,0.2086692564189434,,0.231381,0.286092,0.729448,3.71867,777.3999999999999,4.65508982035928,742.0,4.4431137724550895,3.14232,2.88948,16,64.58999633789062,8.0,AL,Joe Ryan,657746,21390,21390
PHI,Phillies,11,10,31,31,0,0,,180.0,752,173,89,82,26,177,45,,5,4.1176,1.21048,8.86533,2.25922,3.92406,1.30029,0.235783,0.0600865,0.17569666355848312,,0.246258,0.294575,0.711599,3.88799,766.4000000000001,4.257777777777778,766.0,4.2555555555555555,3.12043,2.62679,16,201.2899932861328,26.0,NL,Aaron Nola,605400,16149,16149
BAL,Orioles,9,7,28,28,0,0,,148.0,617,131,64,59,16,156,47,,7,3.61844,1.20534,9.5013,2.84315,3.34182,0.995103,0.253148,0.0757516,0.17739641666412354,,0.233621,0.294925,0.733037,3.55044,707.8000000000001,4.782432432432433,682.0,4.608108108108108,3.10508,2.65925,16,69.91000366210938,2.0,AL,Kyle Bradish,680694,24586,24586
SDP,Padres,11,9,31,31,0,0,,170.0,719,151,75,70,21,179,62,,8,3.6789,1.24473,9.46858,3.25291,2.9108,1.12131,0.24932,0.0856534,0.16366681456565857,,0.231685,0.287843,0.74938,3.87241,755.1,4.4417647058823535,725.0,4.264705882352941,3.05574,2.94979,17,136.0,29.0,NL,Michael King,650633,19853,19853
