Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TOR,Blue Jays,125,435,495,119,84,19,0,15,52,63,50,2,60,4,5,0,,1,0,0.273237,0.350433,0.423116,0.773548,0.337144,0.10172,0.120555,0.843765,0.149879,1.74407,0.284009,-1.32341,,68.1141,9.67327,5.86283,-0.763693,-2.0871,4.90643,8.052179336547852,14.587827205657959,117.393,591.4,4.7312,591.4,4.7312,161.9199981689453,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
TOR,Blue Jays,157,590,679,174,107,33,0,34,98,105,78,9,92,6,5,0,,5,2,0.294786,0.38024,0.522257,0.902496,0.38325,0.114361,0.13565,0.843057,0.227471,2.76253,0.299452,-0.398813,,118.926,38.6973,-1.26722,-0.967017,-1.36583,4.88533,37.9712450504303,-13.592215299606323,149.154,1055.6,6.723566878,1055.6,6.723566878,18.1200008392334,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
ARI,Diamondbacks,147,554,637,143,78,26,12,27,101,89,68,3,133,9,5,2,,34,7,0.258564,0.346492,0.493775,0.840267,0.358677,0.10675,0.209267,0.510114,0.235211,8.12702,0.291915,2.12226,,98.8616,23.5951,4.79914,2.91378,5.03604,4.84798,27.91676664352417,-1.7258553504943848,130.307,920.4,6.261224489,920.4,6.261224489,9.539999961853027,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
CLE,Guardians,157,602,679,165,99,34,3,29,95,96,66,20,80,5,6,0,,32,7,0.273401,0.34695,0.483363,0.830313,0.347122,0.0977005,0.117214,0.833522,0.209961,5.89076,0.271753,-0.0724456,,99.0096,18.7805,1.5792,2.31965,2.2472,4.84006,22.132307291030884,1.8042035102844238,124.848,964.5,6.143312101,964.5,6.143312101,6.0,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
TBR,Rays,154,610,665,167,98,28,0,40,90,118,46,1,124,4,5,0,,6,2,0.274063,0.325978,0.520289,0.846268,0.359358,0.0684869,0.187158,0.36593,0.246226,3.35852,0.281607,-0.0633625,,103.574,24.9995,-1.57242,-0.345032,-0.408395,4.82341,24.053070962429047,0.2025836706161499,131.21,938.2,6.092207792,938.2,6.092207792,16.149999618530273,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
CIN,Reds,156,598,672,157,95,31,6,25,97,89,66,6,173,4,3,1,,41,11,0.262341,0.337965,0.459243,0.797208,0.341377,0.0981561,0.257691,0.380906,0.196902,7.3856,0.328162,1.68633,,94.8545,15.4526,0.927093,2.6725,4.35883,4.72576,15.95481014251709,7.877092361450195,114.559,897.4,5.752564102,897.4,5.752564102,8.850000381469727,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
ARI,Diamondbacks,159,581,686,155,106,30,4,15,96,72,83,1,88,8,6,7,,23,6,0.266066,0.362886,0.408098,0.770984,0.339995,0.12166,0.128771,0.944777,0.142033,5.85446,0.2887,0.34546,,96.061,15.0048,0.443354,0.806025,1.15149,4.70675,15.386956334114075,7.79335343837738,117.509,837.7,5.268553459,837.7,5.268553459,82.08000183105469,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
CHC,Cubs,149,591,644,150,88,30,5,26,88,92,35,1,155,9,6,4,,34,9,0.253605,0.302606,0.455815,0.75842,0.324225,0.054373,0.240135,0.226427,0.202209,7.1018,0.297416,0.812078,,81.934,5.84039,11.9331,2.15401,2.96608,4.69232,10.203428030014038,14.233111143112183,109.482,780.3,5.236912751,780.3,5.236912751,29.459999084472656,0.00636943,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
ARI,Diamondbacks,147,554,637,152,91,31,3,27,94,86,70,6,104,7,5,1,,6,1,0.273601,0.358933,0.486606,0.845539,0.36156,0.109362,0.162617,0.672514,0.213005,4.34896,0.29036,-0.0850714,,100.352,25.0858,-0.213246,-0.494385,-0.579456,4.58839,23.791916251182556,-0.13824550807476044,132.281,897.6,6.106122448,897.6,6.106122448,32.310001373291016,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
SFG,Giants,133,473,525,108,74,20,2,11,53,53,41,0,137,3,5,2,,3,0,0.227936,0.291166,0.348995,0.640161,0.28223,0.0785349,0.260315,0.301692,0.121058,3.81555,0.293487,-0.333101,,48.8749,-13.1342,12.1732,-0.385492,-0.718593,4.57159,-12.340557396411896,22.42320728302002,81.3151,442.3,3.325563909,442.3,3.325563909,999.0,0.0,C,/players/patrick-bailey/27478/stats/batting,30,NL,Patrick Bailey,672275,27478,27478
