Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,82.4,323.322,377.88,85.9069,56.2035,18.0059,2.7958,8.9018,51.5476,36.2781,47.1216,0.0,51.7315,3.023,2.4176,1.9953,,8.1484,2.2849,0.265701,0.36195,0.421282,0.783233,0.348554,0.1247,0.136899,0.910888,0.155582,5.53875,0.290469,0.574,,54.1023,9.40611,-0.548,0.108381,0.682381,2.66997,9.962993621826172,2.8279999494552612,120.769,472.1,5.757317073,472.1,5.757317073,999.0,0.0,3B/SS,/players/kevin-mcgonigle/33572/stats/batting,3B/SS,6.0,6.0,AL,Kevin McGonigle,805808.0,33572,33572
CHC,Cubs,81.49,317.707,349.491,80.4521,47.3672,15.3927,3.0082,14.684,47.4359,44.7426,22.4723,1.0485,83.97,5.2424,2.4001,1.6689,,18.1668,5.244,0.253227,0.310983,0.459269,0.770253,0.333534,0.0643001,0.240264,0.267623,0.206042,7.13488,0.296984,0.713,,45.8112,4.47291,5.46,1.06914,1.78214,2.56759,7.139021515846252,6.818000078201294,112.958,432.8,5.343209876,432.8,5.343209876,32.939998626708984,0.00431034,OF,/players/pete-crow-armstrong/27769/stats/batting,OF,17.0,17.0,NL,Pete Crow-Armstrong,691718.0,27769,27769
ARI,Diamondbacks,81.79,316.688,367.118,81.4878,45.1214,14.8421,6.6838,14.8405,54.0774,49.0848,41.5945,1.4685,75.4984,5.1397,2.6035,1.0925,,15.6748,3.9432,0.257313,0.350309,0.486975,0.837284,0.362621,0.1133,0.205652,0.550932,0.229662,7.5024,0.291097,1.806,,56.7196,13.2963,1.3,1.01749,2.82349,2.54512,15.838990926742554,-2.6710000038146973,129.972,521.2,6.35609756,521.2,6.35609756,14.100000381469727,0.02790698,OF,/players/corbin-carroll/25878/stats/batting,OF,15.0,15.0,NL,Corbin Carroll,682998.0,25878,25878
MIL,Brewers,80.17,305.613,351.624,83.0263,55.6478,16.1065,0.3697,10.9023,43.4566,43.7788,40.8938,2.1097,60.3281,2.1097,2.4449,0.5618,,2.9166,1.057,0.271671,0.358996,0.433813,0.792809,0.34914,0.1163,0.17157,0.677857,0.162142,3.0441,0.304542,-0.425,,50.5091,8.91847,0.476,-0.378614,-0.803614,2.53803,8.571323990821838,5.135999858379364,122.54,440.5,5.50625,440.5,5.50625,56.560001373291016,0.14027149,C,/players/william-contreras/20503/stats/batting,C,23.0,23.0,NL,William Contreras,661388.0,20503,20503
LAD,Dodgers,79.23,305.703,349.949,81.5758,51.0417,15.9706,1.4059,13.1575,48.6287,47.307,38.5993,1.0498,42.0036,2.4496,2.3596,0.8373,,4.5635,1.4411,0.266847,0.351248,0.457407,0.808655,0.354038,0.1103,0.120028,0.918952,0.19056,4.25021,0.270534,-0.14,,51.6485,10.256,-0.795,-0.177485,-0.317485,2.51828,10.290873557329178,3.166999876499176,125.628,457.2,5.787341772,457.2,5.787341772,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,OF,22.0,22.0,NL,Mookie Betts,605141.0,13611,13611
ARI,Diamondbacks,78.31,315.398,360.981,87.3012,53.1203,18.0353,1.5852,14.5604,53.4705,43.2715,37.6865,1.8049,56.0147,3.6098,2.2711,2.0156,,2.5158,0.7096,0.276797,0.358245,0.482527,0.840771,0.36552,0.1044,0.155173,0.672797,0.20573,4.15527,0.294385,-0.072,,56.6143,13.9168,-0.532,-0.294216,-0.366216,2.51791,13.274495333433151,-0.17599999904632568,131.946,505.7,6.483333333,505.7,6.483333333,32.63999938964844,0.16494845,2B,/players/ketel-marte/13613/stats/batting,2B,15.0,15.0,NL,Ketel Marte,606466.0,13613,13613
CIN,Reds,76.45,299.847,339.61,78.7936,46.5517,15.985,2.8132,13.4437,46.4072,45.1139,34.2326,2.0377,88.6348,2.3773,2.4805,0.6722,,18.3504,5.6371,0.262779,0.340486,0.46936,0.809846,0.351056,0.1008,0.26099,0.386221,0.20658,6.72652,0.326343,1.158,,49.3074,9.13779,0.804,0.905241,2.06324,2.49358,9.371509552001953,4.176999926567078,118.193,453.5,5.967105263,453.5,5.967105263,8.449999809265137,0.02727273,SS,/players/elly-de-la-cruz/26668/stats/batting,SS,18.0,18.0,NL,Elly De La Cruz,682829.0,26668,26668
TOR,Blue Jays,82.34,313.76,365.647,91.7667,58.469,17.7378,0.2708,15.289,50.935,51.7416,44.6456,5.4847,46.9699,4.0221,2.7057,0.5138,,3.5493,1.3127,0.292474,0.384611,0.496917,0.881528,0.380772,0.1221,0.128457,0.950515,0.204444,3.18552,0.300848,-0.3,,61.8363,18.587,-0.627,-0.385289,-0.685289,2.40031,18.1488556265831,-7.57200014591217,143.559,546.2,6.660975609,546.2,6.660975609,18.049999237060547,0.14096916,1B,/players/vladimir-guerrero-jr/19611/stats/batting,1B,14.0,14.0,AL,Vladimir Guerrero Jr.,665489.0,19611,19611
ARI,Diamondbacks,82.38,307.476,362.356,81.235,56.5405,15.0155,2.5943,7.0846,46.3393,36.9883,47.1787,0.3624,46.7671,3.9859,2.5694,1.1457,,12.6254,4.1414,0.264199,0.366545,0.399032,0.765577,0.343532,0.1302,0.129064,1.0088,0.134833,5.52142,0.289431,0.221,,50.4146,7.55451,-0.149,0.233487,0.454487,2.38025,7.731840580701828,3.9699999541044235,116.979,439.5,5.359756097,439.5,5.359756097,76.7699966430664,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,SS,15.0,15.0,NL,Geraldo Perdomo,672695.0,22799,22799
STL,Cardinals,82.81,331.184,383.066,86.5262,59.4655,15.3797,0.6488,11.0321,52.1312,36.9556,39.9538,1.5323,64.614,7.2783,2.3436,2.3066,,8.4292,2.0419,0.261263,0.351293,0.411553,0.762846,0.33902,0.1043,0.168676,0.618346,0.15029,4.72101,0.292747,0.26,,51.9043,6.59458,0.708,0.271106,0.531106,2.31624,8.256253242492676,2.1489999890327454,117.049,459.4,5.534939759,459.4,5.534939759,999.0,0.0,2B,/players/jj-wetherholt/34985/stats/batting,2B,28.0,28.0,NL,JJ Wetherholt,802139.0,34985,34985
NYM,Mets,71.02,285.49,326.274,72.5677,45.487,13.5448,1.1428,12.3931,46.1401,36.5824,31.4528,0.6525,59.7817,5.5467,2.0686,1.7157,,10.6289,2.7072,0.254186,0.337589,0.439866,0.777454,0.341882,0.0963999,0.183225,0.526128,0.185679,5.48977,0.279383,-0.297,,44.9611,6.36892,0.761,0.564174,0.267174,2.29844,8.045405238866806,4.0160000920295715,120.154,406.4,5.723943661,406.4,5.723943661,25.350000381469727,0.01086957,SS,/players/francisco-lindor/12916/stats/batting,SS,25.0,25.0,NL,Francisco Lindor,596019.0,12916,12916
WSN,Nationals,81.49,315.766,375.879,81.9075,46.5454,17.5219,0.5085,17.3318,56.8605,44.3264,52.6606,4.8864,106.697,3.007,2.356,2.0888,,11.0371,3.3341,0.259393,0.368055,0.482768,0.850823,0.368374,0.1401,0.283861,0.493551,0.223375,4.78485,0.332705,0.229,,59.8143,15.3548,-0.675,0.30305,0.53205,2.20297,16.047201454639435,-6.523000061511993,134.896,541.4,6.683950617,541.4,6.683950617,37.790000915527344,0.19915254,OF,/players/james-wood/29518/stats/batting,OF,24.0,24.0,NL,James Wood,695578.0,29518,29518
