Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
,,12.0511,9.9772,30.78,30.78,0.0,0.0,,190.384,795.254,180.374,81.377,73.4808,16.098,178.57,62.6835,0.4223,7.8436,3.47365,1.27667,8.4415,2.96323,2.84875,0.761,0.224544,0.078822,0.14572199434041977,0.559,0.248886,0.309921,0.733178,3.46981,886.2,4.66421052631579,887.0,4.668421052631579,3.71867,3.81207,19.1958,0.394824,0.775031,0.869804,5.0,4.53,4.22,3.97,3.75,3.55,3.34,3.11,2.82,4.36,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,93.69999694824219,-1.0,,Framber Valdez,664285.0,17295,17295
NYY,Yankees,12.7884,9.1488,30.78,30.78,0.0,0.0,,189.434,791.286,177.771,77.812,70.3193,18.8592,178.823,54.442,0.6314,7.4373,3.34087,1.22583,8.49587,2.58654,3.28465,0.896,0.22599,0.0688019,0.1571880280971527,0.506053,0.24372,0.298861,0.750211,3.52135,877.1000000000001,4.640740740740742,873.0,4.619047619047619,3.64766,3.70867,19.4906,0.398243,0.762902,0.860591,4.83,4.37,4.06,3.82,3.6,3.4,3.19,2.97,2.68,4.22,4.02,3.89,3.78,3.68,3.58,3.47,3.36,3.2,60.400001525878906,9.0,AL,Max Fried,608331.0,13743,13743
LAD,Dodgers,11.4029,7.7384,27.54,27.54,0.0,0.0,,161.291,667.873,144.933,67.5576,61.5339,17.3478,169.566,49.2136,0.4254,5.4358,3.43357,1.2037,9.4617,2.7461,3.4455,0.968,0.253889,0.0736871,0.1802019327878952,0.493667,0.236345,0.299277,0.745256,3.44723,783.3000000000002,4.865217391304349,762.0,4.732919254658385,3.60547,3.44652,15.8245,0.414443,0.834304,0.931572,5.0,4.49,4.16,3.89,3.66,3.44,3.22,2.98,2.68,4.31,4.11,3.97,3.85,3.75,3.64,3.54,3.42,3.26,22.0,22.0,NL,Yoshinobu Yamamoto,808967.0,33825,33825
HOU,Astros,11.9803,9.6815,30.78,30.78,0.0,0.0,,184.176,769.968,165.005,81.0929,74.3121,20.8733,199.999,60.9376,0.5467,7.1738,3.63135,1.22677,9.77316,2.97779,3.28202,1.02,0.259749,0.079143,0.18060608953237534,0.472851,0.235097,0.299659,0.736324,3.5461,870.3000000000002,4.729891304347827,843.0,4.581521739130435,3.58693,3.28731,17.6522,0.425693,0.798451,0.904842,5.16,4.67,4.35,4.09,3.86,3.65,3.43,3.2,2.89,4.52,4.31,4.17,4.05,3.94,3.83,3.72,3.6,3.43,32.599998474121094,21.0,AL,Hunter Brown,686613.0,25880,25880
CIN,Reds,10.9966,10.6898,30.78,30.78,0.0,0.0,,183.816,769.749,156.965,85.8614,80.5644,28.2056,220.107,61.4568,0.411,10.0737,3.94459,1.18826,10.7769,3.00904,3.58149,1.381,0.285946,0.07984,0.20610614120960236,0.336922,0.224808,0.286193,0.740835,3.90248,836.0000000000002,4.543478260869566,783.0,4.255434782608695,3.57142,3.40521,16.5332,0.465348,0.819522,0.942425,5.45,4.94,4.61,4.34,4.1,3.88,3.65,3.4,3.09,4.81,4.58,4.43,4.3,4.18,4.06,3.94,3.81,3.63,46.70000076293945,18.0,NL,Hunter Greene,668881.0,22182,22182
PHI,Phillies,11.7959,9.6838,30.78,30.78,0.0,0.0,,180.975,752.182,159.28,77.918,71.9468,23.3458,198.828,56.8484,0.7168,5.5992,3.57796,1.19425,9.88785,2.82711,3.49751,1.161,0.264335,0.075578,0.18875699490308762,0.404959,0.23093,0.290732,0.753419,3.65002,852.1,4.707734806629834,815.0,4.502762430939226,3.51008,3.81902,17.3124,0.431328,0.797535,0.906701,5.07,4.58,4.26,4.0,3.77,3.56,3.34,3.11,2.81,4.44,4.23,4.08,3.96,3.85,3.74,3.63,3.51,3.34,76.9000015258789,26.0,NL,Jesús Luzardo,666200.0,19959,19959
MIN,Twins,11.1725,10.4212,30.78,30.78,0.0,0.0,,182.4,752.786,163.078,82.4826,77.2999,26.5696,199.316,44.0914,0.3628,8.6337,3.81414,1.1358,9.83467,2.17556,4.52052,1.311,0.264771,0.058571,0.20620017126202583,0.336177,0.232948,0.287886,0.733573,3.71051,829.8999999999999,4.559890109890109,798.0,4.384615384615385,3.43294,3.11126,16.7448,0.435236,0.811586,0.920925,5.29,4.79,4.46,4.2,3.97,3.75,3.53,3.29,2.98,4.64,4.43,4.28,4.16,4.05,3.94,3.83,3.7,3.53,63.5,8.0,AL,Joe Ryan,657746.0,21390,21390
TEX,Rangers,11.0975,9.4398,29.16,29.16,0.0,0.0,,174.547,722.761,162.937,75.7715,69.4485,20.2668,171.87,43.8846,0.6902,7.0722,3.58091,1.18491,8.86196,2.26278,3.9164,1.045,0.237796,0.060718,0.17707790434360504,0.46048,0.242537,0.297436,0.734388,3.55107,816.2,4.664000000000001,806.0,4.605714285714286,3.3861,3.1149,16.8955,0.437426,0.815052,0.925014,5.13,4.63,4.3,4.03,3.8,3.58,3.36,3.12,2.82,4.48,4.26,4.12,3.99,3.88,3.77,3.66,3.53,3.36,150.1999969482422,13.0,AL,Nathan Eovaldi,543135.0,9132,9132
SEA,Mariners,12.1091,10.643,32.0,32.0,0.0,0.0,,195.095,800.553,175.739,84.008,77.7,26.1644,195.831,43.9736,0.6629,7.5276,3.58441,1.12618,9.03398,2.02856,4.45338,1.207,0.24462,0.054929,0.18969101086258888,0.394619,0.234615,0.283792,0.741221,3.66297,901.6,4.6235897435897435,873.0,4.476923076923077,3.28842,2.92911,19.1056,0.439207,0.768177,0.884872,5.04,4.57,4.25,4.0,3.78,3.57,3.36,3.13,2.83,4.45,4.23,4.09,3.96,3.85,3.74,3.63,3.5,3.33,42.5,11.0,AL,Bryan Woo,693433.0,30279,30279
LAD,Dodgers,11.4095,7.8797,27.54,27.54,0.0,0.0,,163.779,688.727,133.412,69.7698,64.121,18.9074,200.421,71.6207,0.6522,4.4974,3.52358,1.25189,11.0135,3.9357,2.79836,1.039,0.291002,0.10399,0.18701186031103134,0.429979,0.217777,0.291153,0.757511,3.58274,806.1000000000001,4.915243902439025,745.0,4.5426829268292686,3.28708,3.42856,15.9564,0.4491,0.834365,0.947552,5.09,4.57,4.23,3.96,3.72,3.5,3.28,3.03,2.72,4.42,4.2,4.05,3.92,3.81,3.7,3.58,3.45,3.28,62.0,22.0,NL,Blake Snell,605483.0,13543,13543
,,10.8837,9.3188,29.16,29.16,0.0,0.0,,168.759,706.697,161.845,73.1009,66.5519,17.7197,154.319,47.7685,0.7936,5.5405,3.54924,1.24208,8.22991,2.54751,3.23057,0.945,0.218367,0.067594,0.15077296644449234,0.481,0.247701,0.299419,0.738681,3.61893,754.0,4.461538461538462,757.0,4.479289940828402,3.26469,3.28353,16.0561,0.416837,0.828108,0.927101,5.12,4.62,4.29,4.02,3.79,3.57,3.35,3.11,2.81,4.44,4.24,4.1,3.98,3.88,3.77,3.67,3.54,3.38,175.89999389648438,-1.0,,Ranger Suárez,624133.0,17277,17277
MIN,Twins,11.0842,10.4809,30.78,30.78,0.0,0.0,,181.85,757.708,172.244,82.9762,76.7754,22.9737,180.986,46.84,0.7964,7.912,3.79972,1.20475,8.95725,2.31818,3.86392,1.137,0.23886,0.061818,0.17704181000590324,0.421317,0.245028,0.299141,0.728158,3.69022,813.7,4.470879120879121,808.0,4.43956043956044,3.24031,3.00472,16.7041,0.445504,0.81592,0.929624,5.33,4.83,4.5,4.24,4.0,3.78,3.56,3.32,3.01,4.69,4.47,4.32,4.2,4.08,3.97,3.86,3.73,3.55,137.0,8.0,AL,Pablo López,641154.0,17085,17085
BAL,Orioles,10.6599,8.5469,27.54,27.54,0.0,0.0,,161.808,678.726,149.132,72.3537,66.5347,19.3271,170.696,50.5108,0.4106,7.2386,3.70075,1.23382,9.49436,2.80948,3.3794,1.075,0.251495,0.07442,0.17707499116659164,0.452588,0.240157,0.301204,0.737545,3.64876,745.6999999999999,4.603086419753086,731.0,4.512345679012346,3.20637,2.69704,15.0991,0.504407,0.857578,0.99492,5.34,4.8,4.44,4.16,3.91,3.67,3.44,3.18,2.86,4.69,4.44,4.26,4.12,3.99,3.87,3.74,3.59,3.4,78.0999984741211,2.0,AL,Kyle Bradish,680694.0,24586,24586
SEA,Mariners,10.9791,9.0836,29.16,29.16,0.0,0.0,,166.486,677.875,143.995,67.924,62.7004,20.9773,182.068,38.6775,0.928,5.8934,3.38949,1.09722,9.84232,2.09085,4.70733,1.134,0.268586,0.057057,0.21152911707758904,0.398605,0.227371,0.285916,0.748501,3.3891,824.7000000000002,4.968072289156628,786.0,4.734939759036145,3.16594,2.89694,16.1988,0.399217,0.81119,0.904104,4.87,4.37,4.05,3.79,3.57,3.35,3.14,2.91,2.61,4.19,4.0,3.86,3.75,3.65,3.55,3.45,3.33,3.18,32.20000076293945,11.0,AL,Logan Gilbert,669302.0,22250,22250
SEA,Mariners,11.4365,9.8958,30.78,30.78,0.0,0.0,,178.218,732.203,165.201,75.3804,69.2655,22.0991,174.052,33.7297,0.4767,7.2451,3.4979,1.11622,8.78961,1.70335,5.1602,1.116,0.23771,0.046066,0.19164398312568665,0.42394,0.238996,0.28905,0.735453,3.48363,842.5999999999999,4.7337078651685385,829.0,4.657303370786517,3.15973,2.85943,17.1354,0.411916,0.797261,0.897385,4.99,4.51,4.19,3.93,3.71,3.49,3.28,3.05,2.75,4.35,4.14,4.0,3.89,3.78,3.68,3.58,3.46,3.3,65.69999694824219,11.0,AL,George Kirby,669923.0,25436,25436
LAD,Dodgers,10.3388,7.4557,25.92,25.92,0.0,0.0,,147.787,612.461,125.133,64.1216,59.0485,17.3567,171.957,54.2518,0.3405,4.2119,3.59597,1.21381,10.4719,3.30386,3.16961,1.057,0.280764,0.08858,0.19218382239341736,0.447895,0.225874,0.295535,0.743225,3.5216,731.1000000000001,4.939864864864866,689.0,4.655405405405405,3.0675,2.99715,13.7775,0.465609,0.885604,1.00054,5.23,4.68,4.32,4.03,3.78,3.55,3.31,3.06,2.74,4.52,4.29,4.13,4.0,3.88,3.76,3.64,3.51,3.33,108.19999694824219,22.0,NL,Tyler Glasnow,607192.0,14374,14374
PHI,Phillies,8.6562,6.1306,21.06,21.06,0.0,0.0,,125.797,511.163,105.478,48.7879,44.8177,14.5086,145.214,31.4212,0.3992,5.5819,3.20643,1.08825,10.3891,2.24799,4.62152,1.038,0.284085,0.06147,0.22261468693614006,0.415958,0.222452,0.289307,0.755754,3.20822,653.9000000000001,5.189682539682541,614.0,4.873015873015873,3.01678,3.24389,13.0269,0.390729,0.91064,0.990926,4.8,4.24,3.89,3.6,3.36,3.13,2.9,2.66,2.35,4.0,3.81,3.68,3.57,3.47,3.37,3.27,3.16,3.01,141.5,26.0,NL,Zack Wheeler,554430.0,10310,10310
